"Series Key",SEDS.GETCB.US.A,"Series Key",SEDS.HYTCB.US.A,"Series Key",SEDS.SOTCB.US.A,"Series Key",SEDS.WYTCB.US.A,"Series Key",SEDS.BFFDB.US.A,"Series Key",SEDS.WWPRB.US.A
"Series Name","Geothermal energy total consumption, United States","Series Name","Hydropower total consumption, United States","Series Name","Solar energy total consumption, United States","Series Name","Wind energy total consumption, United States","Series Name","Biomass inputs (feedstock) to the production of biofuels, United States","Series Name","Wood and waste energy production, United States"
Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu"
Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A
"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960
"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019
Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration"

2019,201285,2019,2563516,2019,1017111,2019,2634834,2019,2327517,2019,2782277
2018,208865,2018,2663138,2018,915105,2018,2482364,2018,2396573,2018,2842895
2017,210233,2017,2766967,2017,776925,2017,2342891,2017,2344298,2017,2758463
2016,209604,2016,2472442,2016,570218,2016,2095595,2016,2274948,2016,2802272
2015,211836,2015,2321177,2015,426734,2015,1777306,2015,2161440,2015,2830140
2014,214490,2014,2466577,2014,337421,2014,1727542,2014,2103411,2014,2916954
2013,214006,2013,2562382,2013,224524,2013,1601359,2013,1980940,2013,2834691
2012,211592,2012,2628702,2012,158961,2012,1340059,2012,1928887,2012,2617818
2011,212311,2011,3102852,2011,112429,2011,1167636,2011,2029308,2011,2675013
2010,207979,2010,2538541,2010,91282,2010,923427,2010,1867880,2010,2684652
2009,200185,2009,2668824,2009,78178,2009,721129,2009,1569920,2009,2386677
2008,192433,2008,2511108,2008,74207,2008,545548,2008,1374001,2008,2494248
2007,185774,2007,2446389,2007,65621,2007,340503,2007,970070,2007,2502010
2006,181200,2006,2869035,2006,60755,2006,263738,2006,715635,2006,2495880
2005,180703,2005,2702942,2005,57893,2005,178088,2005,561270,2005,2538373
2004,178147,2004,2688468,2004,58376,2004,141664,2004,485722,2004,2510296
2003,173445,2003,2792539,2003,58432,2003,113273,2003,401394,2003,2403388
2002,171164,2002,2689017,2002,59980,2002,105334,2002,308118,2002,2397288
2001,164460,2001,2241858,2001,61674,2001,69617,2001,254453,2001,2374073
2000,164399,2000,2811116,2000,63469,2000,57057,2000,233146,2000,2772517
1999,171885,1999,3267575,1999,66066,1999,45894,1999,210809,1999,2754325
1998,168480,1998,3297054,1998,67449,1998,30853,1998,202474,1998,2726455
1997,166598,1997,3640457,1997,68166,1997,33581,1997,186315,1997,2919211
1996,163359,1996,3589656,1996,69134,1996,33440,1996,141284,1996,3014016
1995,152057,1995,3205307,1995,68233,1995,32630,1995,197737,1995,2901344
1994,173477,1994,2683457,1994,67126,1994,35560,1994,188391,1994,2839141
1993,185573,1993,2891613,1993,65190,1993,30987,1993,169336,1993,2736942
1992,178699,1992,2617436,1992,62880,1992,29863,1992,145006,1992,2786668
1991,177626,1991,3015943,1991,61623,1991,30796,1991,127999,1991,2653799
1990,170747,1990,3046391,1990,58768,1990,29007,1990,110868,1990,2626115
1989,161547,1989,2837263,1989,54466,1989,22033,1989,125377,1989,3033976
1988,106338,1988,2334265,1988,94,1988,9,1988,124059,1988,2891991
1987,112270,1987,2634508,1987,109,1987,37,1987,122725,1987,2754851
1986,107677,1986,3071179,1986,147,1986,44,1986,107100,1986,2824995
1985,97421,1985,2970192,1985,111,1985,60,1985,93149,1985,2923082
1984,80811,1984,3385811,1984,55,1984,68,1984,77301,1984,2894301
1983,63910,1983,3527260,1983,0,1983,28,1983,63144,1983,2841271
1982,50627,1982,3265558,1982,0,1982,0,1982,34405,1982,2630339
1981,59437,1981,2757968,1981,0,1981,0,1981,12720,1981,2587027
1980,52699,1980,2900144,1980,0,1980,0,1980,0,1980,2471691
