"Series Key",SEDS.GETCB.AL.A,"Series Key",SEDS.GETCB.AK.A,"Series Key",SEDS.GETCB.AZ.A,"Series Key",SEDS.GETCB.AR.A,"Series Key",SEDS.HYTCB.AL.A,"Series Key",SEDS.HYTCB.AK.A,"Series Key",SEDS.HYTCB.AZ.A,"Series Key",SEDS.HYTCB.AR.A,"Series Key",SEDS.SOTCB.AL.A,"Series Key",SEDS.SOTCB.AK.A,"Series Key",SEDS.SOTCB.AZ.A,"Series Key",SEDS.SOTCB.AR.A,"Series Key",SEDS.WYTCB.AL.A,"Series Key",SEDS.WYTCB.AK.A,"Series Key",SEDS.WYTCB.AZ.A,"Series Key",SEDS.WYTCB.AR.A,"Series Key",SEDS.BFFDB.AL.A,"Series Key",SEDS.BFFDB.AK.A,"Series Key",SEDS.BFFDB.AZ.A,"Series Key",SEDS.BFFDB.AR.A,"Series Key",SEDS.WWPRB.AL.A,"Series Key",SEDS.WWPRB.AK.A,"Series Key",SEDS.WWPRB.AZ.A,"Series Key",SEDS.WWPRB.AR.A
"Series Name","Geothermal energy total consumption, Alabama","Series Name","Geothermal energy total consumption, Alaska","Series Name","Geothermal energy total consumption, Arizona","Series Name","Geothermal energy total consumption, Arkansas","Series Name","Hydropower total consumption, Alabama","Series Name","Hydropower total consumption, Alaska","Series Name","Hydropower total consumption, Arizona","Series Name","Hydropower total consumption, Arkansas","Series Name","Solar energy total consumption, Alabama","Series Name","Solar energy total consumption, Alaska","Series Name","Solar energy total consumption, Arizona","Series Name","Solar energy total consumption, Arkansas","Series Name","Wind energy total consumption, Alabama","Series Name","Wind energy total consumption, Alaska","Series Name","Wind energy total consumption, Arizona","Series Name","Wind energy total consumption, Arkansas","Series Name","Biomass inputs (feedstock) to the production of biofuels, Alabama","Series Name","Biomass inputs (feedstock) to the production of biofuels, Alaska","Series Name","Biomass inputs (feedstock) to the production of biofuels, Arizona","Series Name","Biomass inputs (feedstock) to the production of biofuels, Arkansas","Series Name","Wood and waste energy production, Alabama","Series Name","Wood and waste energy production, Alaska","Series Name","Wood and waste energy production, Arizona","Series Name","Wood and waste energy production, Arkansas"
Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu"
Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A
"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960
"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019
Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration"

2019,141,2019,186,2019,345,2019,808,2019,101563,2019,14456,2019,55251,2019,36819,2019,3628,2019,40,2019,73265,2019,2256,2019,0,2019,1270,2019,4937,2019,0,2019,1494,2019,0,2019,2976,2019,8589,2019,171312,2019,6791,2019,11363,2019,85026
2018,141,2018,186,2018,345,2018,808,2018,101447,2018,15151,2018,63566,2018,27392,2018,3425,2018,28,2018,70779,2018,2117,2018,0,2018,1411,2018,4827,2018,0,2018,1652,2018,15,2018,6662,2018,9499,2018,172893,2018,7360,2018,9791,2018,86298
2017,141,2017,186,2017,345,2017,808,2017,85103,2017,15143,2017,62942,2017,27117,2017,1812,2017,20,2017,66318,2017,442,2017,0,2017,1305,2017,5251,2017,0,2017,1585,2017,29,2017,6506,2017,6760,2017,169906,2017,6932,2017,8051,2017,81561
