"Series Key",SEDS.GETCB.CA.A,"Series Key",SEDS.GETCB.CO.A,"Series Key",SEDS.GETCB.CT.A,"Series Key",SEDS.GETCB.DE.A,"Series Key",SEDS.HYTCB.CA.A,"Series Key",SEDS.HYTCB.CO.A,"Series Key",SEDS.HYTCB.CT.A,"Series Key",SEDS.HYTCB.DE.A,"Series Key",SEDS.SOTCB.CA.A,"Series Key",SEDS.SOTCB.CO.A,"Series Key",SEDS.SOTCB.CT.A,"Series Key",SEDS.SOTCB.DE.A,"Series Key",SEDS.WYTCB.CA.A,"Series Key",SEDS.WYTCB.CO.A,"Series Key",SEDS.WYTCB.CT.A,"Series Key",SEDS.WYTCB.DE.A,"Series Key",SEDS.BFFDB.CA.A,"Series Key",SEDS.BFFDB.CO.A,"Series Key",SEDS.BFFDB.CT.A,"Series Key",SEDS.BFFDB.DE.A,"Series Key",SEDS.WWPRB.CA.A,"Series Key",SEDS.WWPRB.CO.A,"Series Key",SEDS.WWPRB.CT.A,"Series Key",SEDS.WWPRB.DE.A
"Series Name","Geothermal energy total consumption, California","Series Name","Geothermal energy total consumption, Colorado","Series Name","Geothermal energy total consumption, Connecticut","Series Name","Geothermal energy total consumption, Delaware","Series Name","Hydropower total consumption, California","Series Name","Hydropower total consumption, Colorado","Series Name","Hydropower total consumption, Connecticut","Series Name","Hydropower total consumption, Delaware","Series Name","Solar energy total consumption, California","Series Name","Solar energy total consumption, Colorado","Series Name","Solar energy total consumption, Connecticut","Series Name","Solar energy total consumption, Delaware","Series Name","Wind energy total consumption, California","Series Name","Wind energy total consumption, Colorado","Series Name","Wind energy total consumption, Connecticut","Series Name","Wind energy total consumption, Delaware","Series Name","Biomass inputs (feedstock) to the production of biofuels, California","Series Name","Biomass inputs (feedstock) to the production of biofuels, Colorado","Series Name","Biomass inputs (feedstock) to the production of biofuels, Connecticut","Series Name","Biomass inputs (feedstock) to the production of biofuels, Delaware","Series Name","Wood and waste energy production, California","Series Name","Wood and waste energy production, Colorado","Series Name","Wood and waste energy production, Connecticut","Series Name","Wood and waste energy production, Delaware"
Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu"
Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A
"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960
"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019
Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration"

2019,99329,2019,759,2019,21,2019,430,2019,341549,2019,16127,2019,3811,2019,0,2019,405668,2019,16781,2019,7546,2019,1628,2019,122311,2019,96640,2019,109,2019,47,2019,31439,2019,18415,2019,2359,2019,0,2019,139275,2019,18035,2019,23314,2019,1505
2018,108445,2018,759,2018,21,2018,430,2018,239714,2018,16618,2018,5056,2018,0,2018,381618,2018,15336,2018,6480,2018,1492,2018,127674,2018,88720,2018,112,2018,47,2018,35047,2018,19456,2018,2296,2018,0,2018,133336,2018,15819,2018,23602,2018,1419
2017,108637,2017,759,2017,21,2017,430,2017,390292,2017,17479,2017,3060,2017,0,2017,340363,2017,13973,2017,5086,2017,1354,2017,118138,2017,85816,2017,117,2017,46,2017,33898,2017,19592,2017,1379,2017,0,2017,130529,2017,15515,2017,23220,2017,1439
