"Series Key",SEDS.GETCB.DC.A,"Series Key",SEDS.GETCB.FL.A,"Series Key",SEDS.GETCB.GA.A,"Series Key",SEDS.GETCB.HI.A,"Series Key",SEDS.HYTCB.DC.A,"Series Key",SEDS.HYTCB.FL.A,"Series Key",SEDS.HYTCB.GA.A,"Series Key",SEDS.HYTCB.HI.A,"Series Key",SEDS.SOTCB.DC.A,"Series Key",SEDS.SOTCB.FL.A,"Series Key",SEDS.SOTCB.GA.A,"Series Key",SEDS.SOTCB.HI.A,"Series Key",SEDS.WYTCB.DC.A,"Series Key",SEDS.WYTCB.FL.A,"Series Key",SEDS.WYTCB.GA.A,"Series Key",SEDS.WYTCB.HI.A,"Series Key",SEDS.BFFDB.DC.A,"Series Key",SEDS.BFFDB.FL.A,"Series Key",SEDS.BFFDB.GA.A,"Series Key",SEDS.BFFDB.HI.A,"Series Key",SEDS.WWPRB.DC.A,"Series Key",SEDS.WWPRB.FL.A,"Series Key",SEDS.WWPRB.GA.A,"Series Key",SEDS.WWPRB.HI.A
"Series Name","Geothermal energy total consumption, District of Columbia","Series Name","Geothermal energy total consumption, Florida","Series Name","Geothermal energy total consumption, Georgia","Series Name","Geothermal energy total consumption, Hawaii","Series Name","Hydropower total consumption, District of Columbia","Series Name","Hydropower total consumption, Florida","Series Name","Hydropower total consumption, Georgia","Series Name","Hydropower total consumption, Hawaii","Series Name","Solar energy total consumption, District of Columbia","Series Name","Solar energy total consumption, Florida","Series Name","Solar energy total consumption, Georgia","Series Name","Solar energy total consumption, Hawaii","Series Name","Wind energy total consumption, District of Columbia","Series Name","Wind energy total consumption, Florida","Series Name","Wind energy total consumption, Georgia","Series Name","Wind energy total consumption, Hawaii","Series Name","Biomass inputs (feedstock) to the production of biofuels, District of Columbia","Series Name","Biomass inputs (feedstock) to the production of biofuels, Florida","Series Name","Biomass inputs (feedstock) to the production of biofuels, Georgia","Series Name","Biomass inputs (feedstock) to the production of biofuels, Hawaii","Series Name","Wood and waste energy production, District of Columbia","Series Name","Wood and waste energy production, Florida","Series Name","Wood and waste energy production, Georgia","Series Name","Wood and waste energy production, Hawaii"
Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu"
Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A
"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960
"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019
Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration"

2019,22,2019,10056,2019,315,2019,8,2019,0,2019,1869,2019,35230,2019,842,2019,920,2019,68405,2019,22305,2019,14322,2019,0,2019,0,2019,0,2019,4714,2019,0,2019,920,2019,16723,2019,484,2019,1060,2019,166878,2019,227000,2019,4905
2018,22,2018,10056,2018,315,2018,1010,2018,0,2018,2117,2018,33656,2018,879,2018,651,2018,53356,2018,20958,2018,13070,2018,0,2018,0,2018,0,2018,5480,2018,0,2018,1818,2018,14959,2018,509,2018,931,2018,179653,2018,218209,2018,5351
2017,22,2017,10056,2017,315,2017,2980,2017,0,2017,2011,2017,22201,2017,609,2017,481,2017,38197,2017,20716,2017,12579,2017,0,2017,0,2017,0,2017,4902,2017,0,2017,855,2017,15996,2017,479,2017,814,2017,185555,2017,215614,2017,5415
2016,22,2016,10056,2016,315,2016,2409,2016,0,2016,1611,2016,31137,2016,839,2016,295,2016,30846,2016,10256,2016,9813,2016,0,2016,0,2016,0,2016,5900,2016,0,2016,558,2016,17018,2016,451,2016,790,2016,180333,2016,223460,2016,8181
2015,22,2015,10056,2015,315,2015,2154,2015,0,2015,2277,2015,27804,2015,1129,2015,304,2015,30133,2015,2461,2015,8360,2015,0,2015,0,2015,0,2015,5710,2015,0,2015,645,2015,14467,2015,383,2015,498,2015,180650,2015,224371,2015,7220
2014,22,2014,10056,2014,315,2014,2422,2014,0,2014,2010,2014,29142,2014,895,2014,292,2014,29753,2014,2396,2014,7553,2014,0,2014,0,2014,0,2014,5503,2014,0,2014,1042,2014,13278,2014,343,2014,31,2014,188457,2014,222000,2014,7708
2013,22,2013,10056,2013,315,2013,2630,2013,0,2013,2425,2013,35431,2013,747,2013,253,2013,28428,2013,1312,2013,6056,2013,0,2013,0,2013,0,2013,4802,2013,0,2013,1158,2013,8937,2013,350,2013,30,2013,192075,2013,202846,2013,8156
2012,22,2012,10056,2012,315,2012,2491,2012,0,2012,1432,2012,21281,2012,1090,2012,240,2012,27441,2012,750,2012,4333,2012,0,2012,0,2012,0,2012,3599,2012,0,2012,0,2012,9221,2012,0,2012,24,2012,184106,2012,175219,2012,6691
2011,59,2011,9799,2011,291,2011,2183,2011,0,2011,1769,2011,26282,2011,905,2011,203,2011,25868,2011,536,2011,2870,2011,0,2011,0,2011,0,2011,3311,2011,0,2011,0,2011,11535,2011,0,2011,28,2011,190275,2011,179886,2011,7378
2010,6,2010,9516,2010,300,2010,1964,2010,0,2010,1731,2010,32407,2010,687,2010,80,2010,24638,2010,388,2010,2311,2010,0,2010,0,2010,0,2010,2547,2010,0,2010,0,2010,13919,2010,0,2010,29,2010,194373,2010,173517,2010,7744
2009,0,2009,8444,2009,276,2009,1643,2009,0,2009,2032,2009,31815,2009,1099,2009,22,2009,23273,2009,293,2009,2033,2009,0,2009,0,2009,0,2009,2454,2009,0,2009,0,2009,14893,2009,0,2009,27,2009,179897,2009,148098,2009,8586
2008,0,2008,6889,2008,227,2008,2316,2008,0,2008,2031,2008,21133,2008,831,2008,20,2008,23615,2008,264,2008,1799,2008,0,2008,0,2008,0,2008,2365,2008,0,2008,0,2008,4871,2008,0,2008,45,2008,162697,2008,148022,2008,8609
2007,0,2007,5908,2007,203,2007,2280,2007,0,2007,1527,2007,22102,2007,913,2007,14,2007,23160,2007,245,2007,1520,2007,0,2007,0,2007,0,2007,2354,2007,0,2007,1308,2007,837,2007,0,2007,41,2007,159894,2007,177945,2007,7969
2006,0,2006,5034,2006,172,2006,2114,2006,0,2006,2018,2006,25480,2006,1191,2006,14,2006,22985,2006,241,2006,1382,2006,0,2006,0,2006,0,2006,790,2006,0,2006,1284,2006,552,2006,0,2006,37,2006,155527,2006,181285,2006,8524
2005,0,2005,4434,2005,153,2005,2224,2005,0,2005,2661,2005,40317,2005,962,2005,6,2005,22915,2005,237,2005,1302,2005,0,2005,0,2005,0,2005,66,2005,0,2005,1129,2005,457,2005,0,2005,42,2005,153165,2005,175267,2005,8382
2004,0,2004,3849,2004,135,2004,2144,2004,0,2004,2657,2004,36983,2004,941,2004,4,2004,23957,2004,234,2004,1273,2004,0,2004,0,2004,0,2004,75,2004,0,2004,292,2004,151,2004,0,2004,939,2004,148999,2004,189388,2004,9336
2003,0,2003,3507,2003,125,2003,1813,2003,0,2003,2660,2003,41920,2003,916,2003,3,2003,24706,2003,236,2003,1260,2003,0,2003,0,2003,0,2003,16,2003,0,2003,182,2003,0,2003,0,2003,922,2003,157601,2003,179384,2003,9305
