"Series Key",SEDS.GETCB.ID.A,"Series Key",SEDS.GETCB.IL.A,"Series Key",SEDS.GETCB.IN.A,"Series Key",SEDS.GETCB.IA.A,"Series Key",SEDS.HYTCB.ID.A,"Series Key",SEDS.HYTCB.IL.A,"Series Key",SEDS.HYTCB.IN.A,"Series Key",SEDS.HYTCB.IA.A,"Series Key",SEDS.SOTCB.ID.A,"Series Key",SEDS.SOTCB.IL.A,"Series Key",SEDS.SOTCB.IN.A,"Series Key",SEDS.SOTCB.IA.A,"Series Key",SEDS.WYTCB.ID.A,"Series Key",SEDS.WYTCB.IL.A,"Series Key",SEDS.WYTCB.IN.A,"Series Key",SEDS.WYTCB.IA.A,"Series Key",SEDS.BFFDB.ID.A,"Series Key",SEDS.BFFDB.IL.A,"Series Key",SEDS.BFFDB.IN.A,"Series Key",SEDS.BFFDB.IA.A,"Series Key",SEDS.WWPRB.ID.A,"Series Key",SEDS.WWPRB.IL.A,"Series Key",SEDS.WWPRB.IN.A,"Series Key",SEDS.WWPRB.IA.A
"Series Name","Geothermal energy total consumption, Idaho","Series Name","Geothermal energy total consumption, Illinois","Series Name","Geothermal energy total consumption, Indiana","Series Name","Geothermal energy total consumption, Iowa","Series Name","Hydropower total consumption, Idaho","Series Name","Hydropower total consumption, Illinois","Series Name","Hydropower total consumption, Indiana","Series Name","Hydropower total consumption, Iowa","Series Name","Solar energy total consumption, Idaho","Series Name","Solar energy total consumption, Illinois","Series Name","Solar energy total consumption, Indiana","Series Name","Solar energy total consumption, Iowa","Series Name","Wind energy total consumption, Idaho","Series Name","Wind energy total consumption, Illinois","Series Name","Wind energy total consumption, Indiana","Series Name","Wind energy total consumption, Iowa","Series Name","Biomass inputs (feedstock) to the production of biofuels, Idaho","Series Name","Biomass inputs (feedstock) to the production of biofuels, Illinois","Series Name","Biomass inputs (feedstock) to the production of biofuels, Indiana","Series Name","Biomass inputs (feedstock) to the production of biofuels, Iowa","Series Name","Wood and waste energy production, Idaho","Series Name","Wood and waste energy production, Illinois","Series Name","Wood and waste energy production, Indiana","Series Name","Wood and waste energy production, Iowa"
Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu"
Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A
"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960
"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019
Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration"

2019,2354,2019,2042,2019,4647,2019,1281,2019,92017,2019,1103,2019,2280,2019,7091,2019,5500,2019,3504,2019,4160,2019,1604,2019,22715,2019,128763,2019,55354,2019,234246,2019,8798,2019,214882,2019,152244,2019,627574,2019,37678,2019,19095,2019,36164,2019,20318
2018,2259,2018,2042,2018,4647,2018,1281,2018,100366,2018,1334,2018,2027,2018,8420,2018,5388,2018,2739,2018,3693,2018,1291,2018,24172,2018,108328,2018,49500,2018,194225,2018,9192,2018,223475,2018,171975,2018,632745,2018,37413,2018,18949,2018,37107,2018,19415
2017,2280,2017,2042,2017,4647,2017,1281,2017,98306,2017,1153,2017,2820,2017,9526,2017,4405,2017,2285,2017,3032,2017,905,2017,23444,2017,113023,2017,46889,2017,196907,2017,9256,2017,240542,2017,167493,2017,603578,2017,35195,2017,16876,2017,33687,2017,18073
2016,2167,2016,2042,2016,4647,2016,1281,2016,83395,2016,1226,2016,3935,2016,8464,2016,390,2016,2033,2016,2391,2016,587,2016,23804,2016,98445,2016,45232,2016,185305,2016,9117,2016,250544,2016,165441,2016,580385,2016,32544,2016,18591,2016,34326,2016,20523
2015,2207,2015,2042,2015,4647,2015,1281,2015,81603,2015,1160,2015,3553,2015,8948,2015,81,2015,1938,2015,1714,2015,419,2015,21156,2015,100154,2015,42077,2015,166555,2015,8807,2015,229128,2015,154515,2015,564357,2015,39585,2015,19411,2015,34599,2015,21425
2014,2252,2014,2042,2014,4647,2014,1281,2014,85611,2014,1258,2014,3530,2014,8356,2014,64,2014,1892,2014,1205,2014,268,2014,26683,2014,95888,2014,33247,2014,155077,2014,9041,2014,235404,2014,148901,2014,536562,2014,32343,2014,31273,2014,34805,2014,22978
2013,1881,2013,2042,2013,4647,2013,1281,2013,80845,2013,1148,2013,3692,2013,7147,2013,62,2013,1797,2013,488,2013,87,2013,23472,2013,91834,2013,33213,2013,148538,2013,7865,2013,227815,2013,136993,2013,527305,2013,26040,2013,30591,2013,34377,2013,19625
2012,2213,2012,2042,2012,4647,2012,1281,2012,104109,2012,1058,2012,4125,2012,7291,2012,47,2012,1565,2012,185,2012,48,2012,17991,2012,73528,2012,30547,2012,133533,2012,7958,2012,220379,2012,127520,2012,517393,2012,24201,2012,26509,2012,30441,2012,17619
2011,2164,2011,1905,2011,4499,2011,1359,2011,130241,2011,1365,2011,3972,2011,8991,2011,29,2011,1322,2011,168,2011,34,2011,12696,2011,60367,2011,31921,2011,104050,2011,8492,2011,219103,2011,148921,2011,534667,2011,24930,2011,29450,2011,33461,2011,19783
2010,2120,2010,1965,2010,4408,2010,1170,2010,89309,2010,1157,2010,4426,2010,9250,2010,29,2010,1286,2010,134,2010,33,2010,4300,2010,43450,2010,28625,2010,89466,2010,8364,2010,209932,2010,134066,2010,490389,2010,29766,2010,40507,2010,33942,2010,28307
2009,2122,2009,1744,2009,3912,2009,1037,2009,101838,2009,1331,2009,4914,2009,9479,2009,23,2009,1105,2009,128,2009,32,2009,3059,2009,27519,2009,13695,2009,72424,2009,1693,2009,181482,2009,103354,2009,438134,2009,25767,2009,37841,2009,31509,2009,26721
2008,2325,2008,1399,2008,3180,2008,874,2008,92258,2008,1365,2008,4304,2008,8071,2008,20,2008,1054,2008,102,2008,19,2008,2044,2008,23029,2008,2349,2008,40242,2008,5081,2008,143648,2008,88360,2008,340201,2008,31812,2008,29224,2008,33469,2008,23929
2007,1537,2007,1173,2007,2718,2007,785,2007,89170,2007,1519,2007,4447,2007,9512,2007,17,2007,956,2007,100,2007,17,2007,1703,2007,6567,2007,0,2007,27247,2007,233,2007,130886,2007,37869,2007,281532,2007,32961,2007,27489,2007,27300,2007,23476
2006,1510,2006,969,2006,2306,2006,708,2006,111513,2006,1719,2006,4855,2006,9020,2006,14,2006,826,2006,91,2006,14,2006,1682,2006,2525,2006,0,2006,22990,2006,0,2006,105236,2006,13463,2006,217586,2006,31787,2006,25253,2006,28252,2006,20863
2005,1525,2005,836,2005,2024,2005,647,2005,85413,2005,1290,2005,4382,2005,9594,2005,8,2005,670,2005,78,2005,8,2005,0,2005,1411,2005,0,2005,16470,2005,0,2005,102611,2005,13393,2005,157408,2005,34138,2005,31519,2005,38712,2005,31021
2004,1397,2004,730,2004,1759,2004,555,2004,84752,2004,1538,2004,4444,2004,9475,2004,3,2004,520,2004,63,2004,4,2004,0,2004,782,2004,0,2004,10516,2004,519,2004,106088,2004,14017,2004,123217,2004,25708,2004,44709,2004,34600,2004,30567
