"Series Key",SEDS.GETCB.KS.A,"Series Key",SEDS.GETCB.KY.A,"Series Key",SEDS.GETCB.LA.A,"Series Key",SEDS.GETCB.ME.A,"Series Key",SEDS.HYTCB.KS.A,"Series Key",SEDS.HYTCB.KY.A,"Series Key",SEDS.HYTCB.LA.A,"Series Key",SEDS.HYTCB.ME.A,"Series Key",SEDS.SOTCB.KS.A,"Series Key",SEDS.SOTCB.KY.A,"Series Key",SEDS.SOTCB.LA.A,"Series Key",SEDS.SOTCB.ME.A,"Series Key",SEDS.WYTCB.KS.A,"Series Key",SEDS.WYTCB.KY.A,"Series Key",SEDS.WYTCB.LA.A,"Series Key",SEDS.WYTCB.ME.A,"Series Key",SEDS.BFFDB.KS.A,"Series Key",SEDS.BFFDB.KY.A,"Series Key",SEDS.BFFDB.LA.A,"Series Key",SEDS.BFFDB.ME.A,"Series Key",SEDS.WWPRB.KS.A,"Series Key",SEDS.WWPRB.KY.A,"Series Key",SEDS.WWPRB.LA.A,"Series Key",SEDS.WWPRB.ME.A
"Series Name","Geothermal energy total consumption, Kansas","Series Name","Geothermal energy total consumption, Kentucky","Series Name","Geothermal energy total consumption, Louisiana","Series Name","Geothermal energy total consumption, Maine","Series Name","Hydropower total consumption, Kansas","Series Name","Hydropower total consumption, Kentucky","Series Name","Hydropower total consumption, Louisiana","Series Name","Hydropower total consumption, Maine","Series Name","Solar energy total consumption, Kansas","Series Name","Solar energy total consumption, Kentucky","Series Name","Solar energy total consumption, Louisiana","Series Name","Solar energy total consumption, Maine","Series Name","Wind energy total consumption, Kansas","Series Name","Wind energy total consumption, Kentucky","Series Name","Wind energy total consumption, Louisiana","Series Name","Wind energy total consumption, Maine","Series Name","Biomass inputs (feedstock) to the production of biofuels, Kansas","Series Name","Biomass inputs (feedstock) to the production of biofuels, Kentucky","Series Name","Biomass inputs (feedstock) to the production of biofuels, Louisiana","Series Name","Biomass inputs (feedstock) to the production of biofuels, Maine","Series Name","Wood and waste energy production, Kansas","Series Name","Wood and waste energy production, Kentucky","Series Name","Wood and waste energy production, Louisiana","Series Name","Wood and waste energy production, Maine"
Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu"
Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A
"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960
"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019
Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration"

2019,974,2019,2712,2019,1842,2019,72,2019,182,2019,37682,2019,12161,2019,31162,2019,471,2019,827,2019,2251,2019,897,2019,188105,2019,0,2019,0,2019,22208,2019,75096,2019,10578,2019,0,2019,47,2019,7715,2019,37392,2019,117413,2019,94023
2018,974,2018,2712,2018,1842,2018,72,2018,241,2018,40220,2018,10741,2018,29689,2018,345,2018,719,2018,2189,2018,765,2018,172134,2018,0,2018,0,2018,21707,2018,70570,2018,9787,2018,0,2018,55,2018,8041,2018,36727,2018,128471,2018,97126
2017,974,2017,2712,2017,1842,2017,72,2017,269,2017,41514,2017,8349,2017,31221,2017,231,2017,481,2017,1958,2017,577,2017,171344,2017,0,2017,0,2017,21493,2017,68661,2017,10005,2017,0,2017,55,2017,6227,2017,34882,2017,129937,2017,94604
2016,974,2016,2712,2016,1842,2016,72,2016,282,2016,32108,2016,10183,2016,27693,2016,125,2016,366,2016,1851,2016,418,2016,130272,2016,0,2016,0,2016,15391,2016,67104,2016,9654,2016,0,2016,60,2016,6391,2016,32090,2016,140865,2016,98305
2015,974,2015,2712,2015,1842,2015,72,2015,177,2015,31717,2015,9310,2015,31317,2015,87,2015,198,2015,1521,2015,323,2015,102495,2015,0,2015,0,2015,12075,2015,66006,2015,8219,2015,0,2015,43,2015,7158,2015,32445,2015,119577,2015,117588
2014,974,2014,2712,2014,1842,2014,72,2014,154,2014,29895,2014,10366,2014,34457,2014,56,2014,188,2014,1075,2014,271,2014,103135,2014,0,2014,0,2014,10436,2014,66573,2014,8358,2014,186,2014,52,2014,8477,2014,40535,2014,136092,2014,112166
2013,974,2013,2712,2013,1842,2013,72,2013,139,2013,31249,2013,9966,2013,33970,2013,54,2013,184,2013,669,2013,265,2013,90002,2013,0,2013,0,2013,9996,2013,54416,2013,8298,2013,208,2013,58,2013,8500,2013,38220,2013,113505,2013,117359
2012,974,2012,2712,2012,1842,2012,72,2012,99,2012,22475,2012,6470,2012,35519,2012,39,2012,93,2012,319,2012,194,2012,49439,2012,0,2012,0,2012,8440,2012,55323,2012,10188,2012,720,2012,21,2012,7575,2012,32935,2012,100238,2012,113094
2011,1005,2011,2700,2011,1891,2011,68,2011,143,2011,28850,2011,10144,2011,38660,2011,29,2011,86,2011,165,2011,141,2011,36143,2011,0,2011,0,2011,6866,2011,62468,2011,10051,2011,294,2011,13,2011,8769,2011,36830,2011,99645,2011,115816
2010,906,2010,2544,2010,1708,2010,70,2010,129,2010,25173,2010,10817,2010,37174,2010,28,2010,67,2010,113,2010,139,2010,33220,2010,0,2010,0,2010,4870,2010,62342,2010,6332,2010,172,2010,10,2010,6884,2010,36693,2010,100484,2010,116738
2009,803,2009,2258,2009,1520,2009,61,2009,125,2009,32380,2009,12067,2009,41106,2009,24,2009,60,2009,83,2009,127,2009,27945,2009,0,2009,0,2009,2915,2009,56457,2009,7783,2009,206,2009,0,2009,5721,2009,30355,2009,93270,2009,103995
2008,689,2008,1855,2008,1279,2008,49,2008,104,2008,18895,2008,10488,2008,43923,2008,23,2008,48,2008,79,2008,127,2008,17337,2008,0,2008,0,2008,1297,2008,61499,2008,7902,2008,495,2008,0,2008,5614,2008,32324,2008,97433,2008,137179
2007,630,2007,1608,2007,1125,2007,16,2007,104,2007,16492,2007,8171,2007,36948,2007,24,2007,41,2007,77,2007,116,2007,11392,2007,0,2007,0,2007,979,2007,32404,2007,5653,2007,488,2007,0,2007,5136,2007,32457,2007,140637,2007,117561
2006,583,2006,1391,2006,996,2006,13,2006,96,2006,25707,2006,7074,2006,42435,2006,21,2006,39,2006,67,2006,109,2006,9839,2006,0,2006,0,2006,0,2006,24466,2006,4854,2006,359,2006,0,2006,4692,2006,30401,2006,141324,2006,109782
2005,541,2005,1238,2005,902,2005,11,2005,113,2005,29609,2005,8109,2005,40905,2005,17,2005,35,2005,65,2005,97,2005,4258,2005,0,2005,0,2005,0,2005,18579,2005,3972,2005,0,2005,0,2005,7593,2005,32585,2005,142234,2005,118661
2004,462,2004,1071,2004,778,2004,10,2004,126,2004,37863,2004,11006,2004,34357,2004,15,2004,30,2004,65,2004,96,2004,3592,2004,0,2004,0,2004,0,2004,15734,2004,3772,2004,0,2004,0,2004,8411,2004,26406,2004,173792,2004,102306
2003,411,2003,971,2003,700,2003,9,2003,126,2003,39974,2003,9031,2003,32123,2003,18,2003,4,2003,60,2003,89,2003,3705,2003,0,2003,0,2003,0,2003,13933,2003,35,2003,0,2003,0,2003,8305,2003,24631,2003,138817,2003,100123
2002,302,2002,733,2002,544,2002,7,2002,130,2002,40944,2002,9069,2002,28157,2002,22,2002,4,2002,56,2002,96,2002,4748,2002,0,2002,0,2002,0,2002,8877,2002,26,2002,0,2002,0,2002,8118,2002,21150,2002,131270,2002,112125
2001,277,2001,672,2001,502,2001,6,2001,264,2001,39839,2001,7566,2001,27332,2001,25,2001,4,2001,57,2001,103,2001,412,2001,0,2001,0,2001,0,2001,4135,2001,26,2001,0,2001,0,2001,7971,2001,12652,2001,127962,2001,118705
2000,253,2000,597,2000,451,2000,5,2000,156,2000,23713,2000,5430,2000,36630,2000,29,2000,4,2000,60,2000,110,2000,0,2000,0,2000,0,2000,0,2000,3842,2000,0,2000,0,2000,0,2000,7634,2000,11738,2000,136388,2000,126280
1999,253,1999,597,1999,451,1999,5,1999,126,1999,26144,1999,8199,1999,38408,1999,32,1999,4,1999,67,1999,117,1999,0,1999,0,1999,0,1999,0,1999,3261,1999,0,1999,0,1999,0,1999,7856,1999,11459,1999,139590,1999,120655
1998,249,1998,552,1998,386,1998,0,1998,117,1998,31774,1998,10838,1998,37892,1998,34,1998,4,1998,71,1998,117,1998,0,1998,0,1998,0,1998,0,1998,3584,1998,0,1998,0,1998,0,1998,7674,1998,11149,1998,136187,1998,113231
1997,194,1997,488,1997,328,1997,0,1997,142,1997,34522,1997,10580,1997,37256,1997,36,1997,4,1997,69,1997,117,1997,0,1997,0,1997,0,1997,0,1997,3101,1997,0,1997,0,1997,0,1997,8411,1997,12955,1997,138651,1997,124454
1996,174,1996,450,1996,300,1996,0,1996,113,1996,36159,1996,9967,1996,42987,1996,37,1996,4,1996,73,1996,114,1996,0,1996,0,1996,0,1996,0,1996,1790,1996,0,1996,0,1996,0,1996,10459,1996,18531,1996,142103,1996,124116
