"Series Key",SEDS.GETCB.MD.A,"Series Key",SEDS.GETCB.MA.A,"Series Key",SEDS.GETCB.MI.A,"Series Key",SEDS.GETCB.MN.A,"Series Key",SEDS.HYTCB.MD.A,"Series Key",SEDS.HYTCB.MA.A,"Series Key",SEDS.HYTCB.MI.A,"Series Key",SEDS.HYTCB.MN.A,"Series Key",SEDS.SOTCB.MD.A,"Series Key",SEDS.SOTCB.MA.A,"Series Key",SEDS.SOTCB.MI.A,"Series Key",SEDS.SOTCB.MN.A,"Series Key",SEDS.WYTCB.MD.A,"Series Key",SEDS.WYTCB.MA.A,"Series Key",SEDS.WYTCB.MI.A,"Series Key",SEDS.WYTCB.MN.A,"Series Key",SEDS.BFFDB.MD.A,"Series Key",SEDS.BFFDB.MA.A,"Series Key",SEDS.BFFDB.MI.A,"Series Key",SEDS.BFFDB.MN.A,"Series Key",SEDS.WWPRB.MD.A,"Series Key",SEDS.WWPRB.MA.A,"Series Key",SEDS.WWPRB.MI.A,"Series Key",SEDS.WWPRB.MN.A
"Series Name","Geothermal energy total consumption, Maryland","Series Name","Geothermal energy total consumption, Massachusetts","Series Name","Geothermal energy total consumption, Michigan","Series Name","Geothermal energy total consumption, Minnesota","Series Name","Hydropower total consumption, Maryland","Series Name","Hydropower total consumption, Massachusetts","Series Name","Hydropower total consumption, Michigan","Series Name","Hydropower total consumption, Minnesota","Series Name","Solar energy total consumption, Maryland","Series Name","Solar energy total consumption, Massachusetts","Series Name","Solar energy total consumption, Michigan","Series Name","Solar energy total consumption, Minnesota","Series Name","Wind energy total consumption, Maryland","Series Name","Wind energy total consumption, Massachusetts","Series Name","Wind energy total consumption, Michigan","Series Name","Wind energy total consumption, Minnesota","Series Name","Biomass inputs (feedstock) to the production of biofuels, Maryland","Series Name","Biomass inputs (feedstock) to the production of biofuels, Massachusetts","Series Name","Biomass inputs (feedstock) to the production of biofuels, Michigan","Series Name","Biomass inputs (feedstock) to the production of biofuels, Minnesota","Series Name","Wood and waste energy production, Maryland","Series Name","Wood and waste energy production, Massachusetts","Series Name","Wood and waste energy production, Michigan","Series Name","Wood and waste energy production, Minnesota"
Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu"
Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A
"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960
"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019
Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration"

2019,570,2019,859,2019,5193,2019,1075,2019,19485,2019,8687,2019,14691,2019,9404,2019,13115,2019,29511,2019,2758,2019,12265,2019,4633,2019,1877,2019,51878,2019,97642,2019,0,2019,94,2019,47200,2019,177841,2019,17743,2019,33140,2019,111116,2019,65049
2018,570,2018,859,2018,5193,2018,1075,2018,25772,2018,10320,2018,14286,2018,9591,2018,11456,2018,28177,2018,2304,2018,10437,2018,5189,2018,2012,2018,49683,2018,97537,2018,0,2018,110,2018,50058,2018,174045,2018,22970,2018,33808,2018,114909,2018,71378
2017,570,2017,859,2017,5193,2017,1075,2017,18108,2017,9558,2017,15468,2017,11587,2017,9348,2017,21532,2017,1692,2017,6247,2017,5172,2017,2143,2017,47827,2017,102608,2017,0,2017,110,2017,47234,2017,169618,2017,22137,2017,34257,2017,107923,2017,70424
