"Series Key",SEDS.GETCB.MS.A,"Series Key",SEDS.GETCB.MO.A,"Series Key",SEDS.GETCB.MT.A,"Series Key",SEDS.GETCB.NE.A,"Series Key",SEDS.HYTCB.MS.A,"Series Key",SEDS.HYTCB.MO.A,"Series Key",SEDS.HYTCB.MT.A,"Series Key",SEDS.HYTCB.NE.A,"Series Key",SEDS.SOTCB.MS.A,"Series Key",SEDS.SOTCB.MO.A,"Series Key",SEDS.SOTCB.MT.A,"Series Key",SEDS.SOTCB.NE.A,"Series Key",SEDS.WYTCB.MS.A,"Series Key",SEDS.WYTCB.MO.A,"Series Key",SEDS.WYTCB.MT.A,"Series Key",SEDS.WYTCB.NE.A,"Series Key",SEDS.BFFDB.MS.A,"Series Key",SEDS.BFFDB.MO.A,"Series Key",SEDS.BFFDB.MT.A,"Series Key",SEDS.BFFDB.NE.A,"Series Key",SEDS.WWPRB.MS.A,"Series Key",SEDS.WWPRB.MO.A,"Series Key",SEDS.WWPRB.MT.A,"Series Key",SEDS.WWPRB.NE.A
"Series Name","Geothermal energy total consumption, Mississippi","Series Name","Geothermal energy total consumption, Missouri","Series Name","Geothermal energy total consumption, Montana","Series Name","Geothermal energy total consumption, Nebraska","Series Name","Hydropower total consumption, Mississippi","Series Name","Hydropower total consumption, Missouri","Series Name","Hydropower total consumption, Montana","Series Name","Hydropower total consumption, Nebraska","Series Name","Solar energy total consumption, Mississippi","Series Name","Solar energy total consumption, Missouri","Series Name","Solar energy total consumption, Montana","Series Name","Solar energy total consumption, Nebraska","Series Name","Wind energy total consumption, Mississippi","Series Name","Wind energy total consumption, Missouri","Series Name","Wind energy total consumption, Montana","Series Name","Wind energy total consumption, Nebraska","Series Name","Biomass inputs (feedstock) to the production of biofuels, Mississippi","Series Name","Biomass inputs (feedstock) to the production of biofuels, Missouri","Series Name","Biomass inputs (feedstock) to the production of biofuels, Montana","Series Name","Biomass inputs (feedstock) to the production of biofuels, Nebraska","Series Name","Wood and waste energy production, Mississippi","Series Name","Wood and waste energy production, Missouri","Series Name","Wood and waste energy production, Montana","Series Name","Wood and waste energy production, Nebraska"
Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu"
Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A
"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960
"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019
Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration"

2019,958,2019,352,2019,337,2019,1212,2019,0,2019,19733,2019,89090,2019,11935,2019,3007,2019,3534,2019,489,2019,446,2019,0,2019,25450,2019,21135,2019,64215,2019,5811,2019,62595,2019,1,2019,283900,2019,56621,2019,28025,2019,18136,2019,5489
2018,958,2018,352,2018,337,2018,1212,2018,0,2018,7542,2018,103828,2018,12582,2018,3080,2018,2980,2018,497,2018,373,2018,0,2018,25807,2018,19604,2018,50519,2018,15110,2018,65950,2018,1,2018,285767,2018,57392,2018,28142,2018,18737,2018,5203
2017,958,2017,352,2017,337,2017,1212,2017,0,2017,10886,2017,100850,2017,13719,2017,903,2017,2433,2017,275,2017,220,2017,0,2017,18724,2017,19852,2017,46840,2017,13491,2017,60563,2017,2,2017,286690,2017,55598,2017,23404,2017,14923,2017,3916
