"Series Key",SEDS.GETCB.NV.A,"Series Key",SEDS.GETCB.NH.A,"Series Key",SEDS.GETCB.NJ.A,"Series Key",SEDS.GETCB.NM.A,"Series Key",SEDS.HYTCB.NV.A,"Series Key",SEDS.HYTCB.NH.A,"Series Key",SEDS.HYTCB.NJ.A,"Series Key",SEDS.HYTCB.NM.A,"Series Key",SEDS.SOTCB.NV.A,"Series Key",SEDS.SOTCB.NH.A,"Series Key",SEDS.SOTCB.NJ.A,"Series Key",SEDS.SOTCB.NM.A,"Series Key",SEDS.WYTCB.NV.A,"Series Key",SEDS.WYTCB.NH.A,"Series Key",SEDS.WYTCB.NJ.A,"Series Key",SEDS.WYTCB.NM.A,"Series Key",SEDS.BFFDB.NV.A,"Series Key",SEDS.BFFDB.NH.A,"Series Key",SEDS.BFFDB.NJ.A,"Series Key",SEDS.BFFDB.NM.A,"Series Key",SEDS.WWPRB.NV.A,"Series Key",SEDS.WWPRB.NH.A,"Series Key",SEDS.WWPRB.NJ.A,"Series Key",SEDS.WWPRB.NM.A
"Series Name","Geothermal energy total consumption, Nevada","Series Name","Geothermal energy total consumption, New Hampshire","Series Name","Geothermal energy total consumption, New Jersey","Series Name","Geothermal energy total consumption, New Mexico","Series Name","Hydropower total consumption, Nevada","Series Name","Hydropower total consumption, New Hampshire","Series Name","Hydropower total consumption, New Jersey","Series Name","Hydropower total consumption, New Mexico","Series Name","Solar energy total consumption, Nevada","Series Name","Solar energy total consumption, New Hampshire","Series Name","Solar energy total consumption, New Jersey","Series Name","Solar energy total consumption, New Mexico","Series Name","Wind energy total consumption, Nevada","Series Name","Wind energy total consumption, New Hampshire","Series Name","Wind energy total consumption, New Jersey","Series Name","Wind energy total consumption, New Mexico","Series Name","Biomass inputs (feedstock) to the production of biofuels, Nevada","Series Name","Biomass inputs (feedstock) to the production of biofuels, New Hampshire","Series Name","Biomass inputs (feedstock) to the production of biofuels, New Jersey","Series Name","Biomass inputs (feedstock) to the production of biofuels, New Mexico","Series Name","Wood and waste energy production, Nevada","Series Name","Wood and waste energy production, New Hampshire","Series Name","Wood and waste energy production, New Jersey","Series Name","Wood and waste energy production, New Mexico"
Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu"
Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A
"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960
"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019
Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration"

2019,36359,2019,29,2019,466,2019,885,2019,19966,2019,13019,2019,236,2019,1409,2019,49970,2019,1229,2019,31706,2019,15047,2019,2933,2019,3859,2019,196,2019,61374,2019,0,2019,312,2019,0,2019,0,2019,4099,2019,37541,2019,16755,2019,15320
2018,33066,2018,29,2018,466,2018,487,2018,17127,2018,12336,2018,324,2018,1361,2018,48548,2018,1056,2018,28230,2018,14764,2018,2844,2018,3702,2018,206,2018,55457,2018,0,2018,276,2018,0,2018,0,2018,4069,2018,38734,2018,19288,2018,13160
2017,31876,2017,29,2017,466,2017,487,2017,16700,2017,13022,2017,126,2017,1780,2017,43060,2017,875,2017,25630,2017,13076,2017,3329,2017,3792,2017,207,2017,42330,2017,0,2017,245,2017,191,2017,0,2017,3161,2017,41898,2017,18980,2017,9728
