"Series Key",SEDS.GETCB.NY.A,"Series Key",SEDS.GETCB.NC.A,"Series Key",SEDS.GETCB.ND.A,"Series Key",SEDS.GETCB.OH.A,"Series Key",SEDS.HYTCB.NY.A,"Series Key",SEDS.HYTCB.NC.A,"Series Key",SEDS.HYTCB.ND.A,"Series Key",SEDS.HYTCB.OH.A,"Series Key",SEDS.SOTCB.NY.A,"Series Key",SEDS.SOTCB.NC.A,"Series Key",SEDS.SOTCB.ND.A,"Series Key",SEDS.SOTCB.OH.A,"Series Key",SEDS.WYTCB.NY.A,"Series Key",SEDS.WYTCB.NC.A,"Series Key",SEDS.WYTCB.ND.A,"Series Key",SEDS.WYTCB.OH.A,"Series Key",SEDS.BFFDB.NY.A,"Series Key",SEDS.BFFDB.NC.A,"Series Key",SEDS.BFFDB.ND.A,"Series Key",SEDS.BFFDB.OH.A,"Series Key",SEDS.WWPRB.NY.A,"Series Key",SEDS.WWPRB.NC.A,"Series Key",SEDS.WWPRB.ND.A,"Series Key",SEDS.WWPRB.OH.A
"Series Name","Geothermal energy total consumption, New York","Series Name","Geothermal energy total consumption, North Carolina","Series Name","Geothermal energy total consumption, North Dakota","Series Name","Geothermal energy total consumption, Ohio","Series Name","Hydropower total consumption, New York","Series Name","Hydropower total consumption, North Carolina","Series Name","Hydropower total consumption, North Dakota","Series Name","Hydropower total consumption, Ohio","Series Name","Solar energy total consumption, New York","Series Name","Solar energy total consumption, North Carolina","Series Name","Solar energy total consumption, North Dakota","Series Name","Solar energy total consumption, Ohio","Series Name","Wind energy total consumption, New York","Series Name","Wind energy total consumption, North Carolina","Series Name","Wind energy total consumption, North Dakota","Series Name","Wind energy total consumption, Ohio","Series Name","Biomass inputs (feedstock) to the production of biofuels, New York","Series Name","Biomass inputs (feedstock) to the production of biofuels, North Carolina","Series Name","Biomass inputs (feedstock) to the production of biofuels, North Dakota","Series Name","Biomass inputs (feedstock) to the production of biofuels, Ohio","Series Name","Wood and waste energy production, New York","Series Name","Wood and waste energy production, North Carolina","Series Name","Wood and waste energy production, North Dakota","Series Name","Wood and waste energy production, Ohio"
Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu"
Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A
"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960
"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019
Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration"

2019,1185,2019,967,2019,978,2019,3435,2019,272679,2019,55084,2019,28312,2019,3585,2019,22510,2019,69062,2019,11,2019,3269,2019,39680,2019,4659,2019,99852,2019,18192,2019,19710,2019,188,2019,79219,2019,91600,2019,96021,2019,124042,2019,1852,2019,52550
2018,1185,2018,967,2018,978,2018,3435,2018,269752,2018,60136,2018,28952,2018,2222,2018,17686,2018,57834,2018,8,2018,2755,2018,36401,2018,4941,2018,97712,2018,15932,2018,18618,2018,199,2018,78656,2018,94106,2018,99051,2018,124738,2018,1894,2018,53208
2017,1185,2017,967,2017,978,2017,3435,2017,277725,2017,35175,2017,23789,2017,2555,2017,13919,2017,49099,2017,7,2017,2435,2017,38105,2017,4337,2017,104653,2017,14635,2017,20772,2017,222,2017,79157,2017,91227,2017,95699,2017,125771,2017,2675,2017,51746
2016,1185,2016,967,2016,978,2016,3435,2016,248232,2016,40779,2016,17652,2016,4619,2016,10674,2016,33397,2016,7,2016,1874,2016,36376,2016,58,2016,75443,2016,11497,2016,21460,2016,425,2016,65064,2016,87601,2016,94852,2016,123892,2016,2948,2016,56884
2015,1185,2015,967,2015,978,2015,3435,2015,242429,2015,44191,2015,19516,2015,4256,2015,7729,2015,13870,2015,7,2015,1678,2015,37061,2015,0,2015,60627,2015,11211,2015,19650,2015,256,2015,57431,2015,83462,2015,100942,2015,110724,2015,2835,2015,60307
2014,1185,2014,967,2014,978,2014,3435,2014,248086,2014,45230,2014,24073,2014,4546,2014,5296,2014,7898,2014,7,2014,1566,2014,37740,2014,0,2014,58985,2014,10969,2014,19868,2014,615,2014,51308,2014,82615,2014,85659,2014,119275,2014,2883,2014,63627
2013,1185,2013,967,2013,978,2013,3435,2013,238270,2013,65838,2013,17674,2013,5240,2013,3860,2013,4155,2013,7,2013,1345,2013,33770,2013,0,2013,52656,2013,10933,2013,21477,2013,684,2013,51158,2013,71233,2013,82173,2013,120703,2013,2812,2013,63173
2012,1185,2012,967,2012,978,2012,3435,2012,234593,2012,35475,2012,23573,2012,3941,2012,3231,2012,1974,2012,6,2012,1176,2012,28468,2012,0,2012,50192,2012,9378,2012,17721,2012,375,2012,50353,2012,66929,2012,74996,2012,114375,2012,2439,2012,55496
2011,1283,2011,903,2011,1001,2011,3372,2011,272019,2011,37828,2011,25068,2011,3728,2011,2134,2011,582,2011,4,2011,564,2011,27478,2011,0,2011,50869,2011,1928,2011,18443,2011,1295,2011,52494,2011,70400,2011,78271,2011,116289,2011,2899,2011,59217
2010,1070,2010,931,2010,906,2010,3241,2010,248502,2010,46405,2010,19923,2010,4186,2010,1735,2010,429,2010,4,2010,438,2010,25328,2010,0,2010,39957,2010,123,2010,14819,2010,1095,2010,46210,2010,57797,2010,74858,2010,109532,2010,2146,2010,59751
2009,950,2009,826,2009,804,2009,2875,2009,269523,2009,50471,2009,14398,2009,5151,2009,1475,2009,343,2009,4,2009,249,2009,22119,2009,0,2009,29256,2009,138,2009,6947,2009,362,2009,38691,2009,38334,2009,68960,2009,96860,2009,1999,2009,50343
2008,812,2008,663,2008,668,2008,2350,2008,263330,2008,29894,2008,12345,2008,3808,2008,1348,2008,269,2008,3,2008,202,2008,12324,2008,0,2008,16687,2008,149,2008,12333,2008,353,2008,27104,2008,50265,2008,109337,2008,111878,2008,1911,2008,53944
