"Series Key",SEDS.GETCB.OR.A,"Series Key",SEDS.GETCB.OK.A,"Series Key",SEDS.GETCB.PA.A,"Series Key",SEDS.GETCB.RI.A,"Series Key",SEDS.HYTCB.OR.A,"Series Key",SEDS.HYTCB.OK.A,"Series Key",SEDS.HYTCB.PA.A,"Series Key",SEDS.HYTCB.RI.A,"Series Key",SEDS.SOTCB.OR.A,"Series Key",SEDS.SOTCB.OK.A,"Series Key",SEDS.SOTCB.PA.A,"Series Key",SEDS.SOTCB.RI.A,"Series Key",SEDS.WYTCB.OR.A,"Series Key",SEDS.WYTCB.OK.A,"Series Key",SEDS.WYTCB.PA.A,"Series Key",SEDS.WYTCB.RI.A,"Series Key",SEDS.BFFDB.OR.A,"Series Key",SEDS.BFFDB.OK.A,"Series Key",SEDS.BFFDB.PA.A,"Series Key",SEDS.BFFDB.RI.A,"Series Key",SEDS.WWPRB.OR.A,"Series Key",SEDS.WWPRB.OK.A,"Series Key",SEDS.WWPRB.PA.A,"Series Key",SEDS.WWPRB.RI.A
"Series Name","Geothermal energy total consumption, Oregon","Series Name","Geothermal energy total consumption, Oklahoma","Series Name","Geothermal energy total consumption, Pennsylvania","Series Name","Geothermal energy total consumption, Rhode Island","Series Name","Hydropower total consumption, Oregon","Series Name","Hydropower total consumption, Oklahoma","Series Name","Hydropower total consumption, Pennsylvania","Series Name","Hydropower total consumption, Rhode Island","Series Name","Solar energy total consumption, Oregon","Series Name","Solar energy total consumption, Oklahoma","Series Name","Solar energy total consumption, Pennsylvania","Series Name","Solar energy total consumption, Rhode Island","Series Name","Wind energy total consumption, Oregon","Series Name","Wind energy total consumption, Oklahoma","Series Name","Wind energy total consumption, Pennsylvania","Series Name","Wind energy total consumption, Rhode Island","Series Name","Biomass inputs (feedstock) to the production of biofuels, Oregon","Series Name","Biomass inputs (feedstock) to the production of biofuels, Oklahoma","Series Name","Biomass inputs (feedstock) to the production of biofuels, Pennsylvania","Series Name","Biomass inputs (feedstock) to the production of biofuels, Rhode Island","Series Name","Wood and waste energy production, Oregon","Series Name","Wood and waste energy production, Oklahoma","Series Name","Wood and waste energy production, Pennsylvania","Series Name","Wood and waste energy production, Rhode Island"
Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu"
Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A
"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960
"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019
Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration"

2019,2884,2019,24,2019,2162,2019,57,2019,270017,2019,34758,2019,31195,2019,32,2019,9438,2019,734,2019,5874,2019,2131,2019,58496,2019,258317,2019,28946,2019,1836,2019,6495,2019,4115,2019,19892,2019,546,2019,78920,2019,34362,2019,113402,2019,4191
2018,2837,2018,24,2018,2162,2018,57,2018,322671,2018,18526,2018,38799,2018,37,2018,8464,2018,691,2018,5111,2018,1173,2018,67802,2018,248887,2018,32473,2018,1444,2018,7171,2018,4496,2018,20715,2018,305,2018,77946,2018,35961,2018,121012,2018,3646
2017,2839,2017,24,2017,2162,2017,57,2017,352802,2017,18760,2017,28775,2017,22,2017,4827,2017,382,2017,4684,2017,679,2017,57366,2017,217416,2017,33080,2017,1372,2017,6945,2017,4644,2017,18584,2017,156,2017,76577,2017,33620,2017,117484,2017,3680
2016,2928,2016,24,2016,2162,2016,57,2016,318960,2016,23758,2016,21922,2016,20,2016,3140,2016,115,2016,4071,2016,450,2016,66075,2016,185278,2016,32093,2016,245,2016,6498,2016,4466,2016,18729,2016,130,2016,70456,2016,29927,2016,117654,2016,3798
2015,2898,2015,24,2015,2162,2015,57,2015,291255,2015,24825,2015,24264,2015,29,2015,2430,2015,71,2015,3758,2015,298,2015,61799,2015,130754,2015,31244,2015,94,2015,6548,2015,3486,2015,16157,2015,94,2015,73972,2015,28038,2015,122856,2015,4315
2014,2977,2014,24,2014,2162,2014,57,2014,335341,2014,13585,2014,25117,2014,38,2014,2323,2014,49,2014,3707,2014,240,2014,71852,2014,113519,2014,33901,2014,94,2014,6975,2014,3922,2014,17038,2014,40,2014,65867,2014,31930,2014,115404,2014,3952
2013,2803,2013,24,2013,2162,2013,57,2013,315785,2013,20781,2013,24088,2013,42,2013,2139,2013,48,2013,3511,2013,163,2013,71135,2013,106501,2013,31982,2013,25,2013,6112,2013,3882,2013,18533,2013,44,2013,65426,2013,33751,2013,120046,2013,2371
2012,1476,2012,24,2012,2162,2012,57,2012,375027,2012,10901,2012,21334,2012,41,2012,1938,2012,36,2012,3122,2012,154,2012,60365,2012,77628,2012,20256,2012,13,2012,4590,2012,0,2012,16065,2012,26,2012,55101,2012,31058,2012,105758,2012,2670
2011,1286,2011,23,2011,2180,2011,127,2011,411131,2011,14641,2011,31258,2011,72,2011,1692,2011,31,2011,2552,2011,105,2011,46398,2011,54461,2011,17435,2011,28,2011,4776,2011,1681,2011,14292,2011,26,2011,52066,2011,30109,2011,111255,2011,3321
2010,1114,2010,23,2010,2018,2010,20,2010,297970,2010,27403,2010,22753,2010,36,2010,1569,2010,26,2010,1435,2010,64,2010,38244,2010,37152,2010,18088,2010,30,2010,4926,2010,1164,2010,15336,2010,20,2010,54901,2010,30251,2010,99589,2010,3554
2009,1061,2009,21,2009,1790,2009,17,2009,322407,2009,34673,2009,26185,2009,46,2009,1392,2009,25,2009,738,2009,64,2009,33864,2009,26334,2009,10490,2009,0,2009,7981,2009,2210,2009,2682,2009,22,2009,48959,2009,18342,2009,87053,2009,3417
2008,1005,2008,17,2008,1481,2008,14,2008,333115,2008,37556,2008,25116,2008,49,2008,1250,2008,24,2008,605,2008,65,2008,25376,2008,23237,2008,7188,2008,0,2008,10344,2008,1713,2008,2964,2008,20,2008,43373,2008,12837,2008,80514,2008,2819
2007,1012,2007,14,2007,1293,2007,11,2007,331978,2007,30303,2007,22100,2007,43,2007,1059,2007,22,2007,547,2007,59,2007,12325,2007,18277,2007,4646,2007,0,2007,2040,2007,0,2007,1303,2007,0,2007,48490,2007,25689,2007,76586,2007,2668
2006,994,2006,11,2006,1128,2006,9,2006,375437,2006,6185,2006,28211,2006,59,2006,877,2006,20,2006,491,2006,56,2006,9237,2006,16986,2006,3582,2006,0,2006,0,2006,0,2006,435,2006,0,2006,46466,2006,27123,2006,73785,2006,2507
2005,997,2005,10,2005,1009,2005,8,2005,309453,2005,26301,2005,22320,2005,67,2005,744,2005,21,2005,429,2005,26,2005,7342,2005,8477,2005,2842,2005,0,2005,0,2005,0,2005,32,2005,0,2005,45531,2005,26521,2005,77592,2005,778
2004,930,2004,8,2004,872,2004,7,2004,331337,2004,29814,2004,31604,2004,55,2004,681,2004,27,2004,403,2004,22,2004,6200,2004,5737,2004,3068,2004,0,2004,0,2004,0,2004,3,2004,0,2004,45474,2004,26472,2004,74421,2004,3762
2003,901,2003,8,2003,788,2003,7,2003,336660,2003,18209,2003,33881,2003,61,2003,677,2003,35,2003,366,2003,25,2003,4492,2003,552,2003,1129,2003,0,2003,0,2003,0,2003,2,2003,0,2003,41750,2003,23150,2003,73779,2003,3695
