"Series Key",SEDS.GETCB.SD.A,"Series Key",SEDS.GETCB.SC.A,"Series Key",SEDS.GETCB.TN.A,"Series Key",SEDS.GETCB.TX.A,"Series Key",SEDS.HYTCB.SD.A,"Series Key",SEDS.HYTCB.SC.A,"Series Key",SEDS.HYTCB.TN.A,"Series Key",SEDS.HYTCB.TX.A,"Series Key",SEDS.SOTCB.SD.A,"Series Key",SEDS.SOTCB.SC.A,"Series Key",SEDS.SOTCB.TN.A,"Series Key",SEDS.SOTCB.TX.A,"Series Key",SEDS.WYTCB.SD.A,"Series Key",SEDS.WYTCB.SC.A,"Series Key",SEDS.WYTCB.TN.A,"Series Key",SEDS.WYTCB.TX.A,"Series Key",SEDS.BFFDB.SD.A,"Series Key",SEDS.BFFDB.SC.A,"Series Key",SEDS.BFFDB.TN.A,"Series Key",SEDS.BFFDB.TX.A,"Series Key",SEDS.WWPRB.SD.A,"Series Key",SEDS.WWPRB.SC.A,"Series Key",SEDS.WWPRB.TN.A,"Series Key",SEDS.WWPRB.TX.A
"Series Name","Geothermal energy total consumption, South Dakota","Series Name","Geothermal energy total consumption, South Carolina","Series Name","Geothermal energy total consumption, Tennessee","Series Name","Geothermal energy total consumption, Texas","Series Name","Hydropower total consumption, South Dakota","Series Name","Hydropower total consumption, South Carolina","Series Name","Hydropower total consumption, Tennessee","Series Name","Hydropower total consumption, Texas","Series Name","Solar energy total consumption, South Dakota","Series Name","Solar energy total consumption, South Carolina","Series Name","Solar energy total consumption, Tennessee","Series Name","Solar energy total consumption, Texas","Series Name","Wind energy total consumption, South Dakota","Series Name","Wind energy total consumption, South Carolina","Series Name","Wind energy total consumption, Tennessee","Series Name","Wind energy total consumption, Texas","Series Name","Biomass inputs (feedstock) to the production of biofuels, South Dakota","Series Name","Biomass inputs (feedstock) to the production of biofuels, South Carolina","Series Name","Biomass inputs (feedstock) to the production of biofuels, Tennessee","Series Name","Biomass inputs (feedstock) to the production of biofuels, Texas","Series Name","Wood and waste energy production, South Dakota","Series Name","Wood and waste energy production, South Carolina","Series Name","Wood and waste energy production, Tennessee","Series Name","Wood and waste energy production, Texas"
Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu"
Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A
"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960
"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019
Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration"

2019,1868,2019,648,2019,213,2019,2478,2019,70484,2019,26503,2019,90206,2019,13139,2019,33,2019,10607,2019,3769,2019,48385,2019,24839,2019,0,2019,338,2019,744639,2019,161380,2019,0,2019,27987,2019,67825,2019,3345,2019,112082,2019,58095,2019,86432
2018,1868,2018,648,2018,213,2018,2478,2018,57048,2018,27437,2018,93705,2018,10255,2018,29,2018,6949,2018,2378,2018,36299,2018,25810,2018,0,2018,373,2018,689177,2018,163145,2018,0,2018,27349,2018,75913,2018,3790,2018,112060,2018,61768,2018,86701
2017,1868,2017,648,2017,213,2017,2478,2017,48419,2017,16906,2017,80071,2017,9784,2017,32,2017,2037,2017,1679,2017,25155,2017,27255,2017,0,2017,399,2017,617833,2017,158884,2017,0,2017,25347,2017,74121,2017,2658,2017,112940,2017,58406,2017,80495
2016,1868,2016,648,2016,213,2016,2478,2016,44365,2016,20551,2016,62538,2016,12389,2016,15,2016,412,2016,1546,2016,10946,2016,34290,2016,0,2016,348,2016,531124,2016,152602,2016,0,2016,25260,2016,70914,2016,2665,2016,109431,2016,64034,2016,80874
