"Series Key",SEDS.GETCB.VT.A,"Series Key",SEDS.GETCB.VA.A,"Series Key",SEDS.GETCB.WA.A,"Series Key",SEDS.GETCB.UT.A,"Series Key",SEDS.HYTCB.VT.A,"Series Key",SEDS.HYTCB.VA.A,"Series Key",SEDS.HYTCB.WA.A,"Series Key",SEDS.HYTCB.UT.A,"Series Key",SEDS.SOTCB.VT.A,"Series Key",SEDS.SOTCB.VA.A,"Series Key",SEDS.SOTCB.WA.A,"Series Key",SEDS.SOTCB.UT.A,"Series Key",SEDS.WYTCB.VT.A,"Series Key",SEDS.WYTCB.VA.A,"Series Key",SEDS.WYTCB.WA.A,"Series Key",SEDS.WYTCB.UT.A,"Series Key",SEDS.BFFDB.VT.A,"Series Key",SEDS.BFFDB.VA.A,"Series Key",SEDS.BFFDB.WA.A,"Series Key",SEDS.BFFDB.UT.A,"Series Key",SEDS.WWPRB.VT.A,"Series Key",SEDS.WWPRB.VA.A,"Series Key",SEDS.WWPRB.WA.A,"Series Key",SEDS.WWPRB.UT.A
"Series Name","Geothermal energy total consumption, Vermont","Series Name","Geothermal energy total consumption, Virginia","Series Name","Geothermal energy total consumption, Washington","Series Name","Geothermal energy total consumption, Utah","Series Name","Hydropower total consumption, Vermont","Series Name","Hydropower total consumption, Virginia","Series Name","Hydropower total consumption, Washington","Series Name","Hydropower total consumption, Utah","Series Name","Solar energy total consumption, Vermont","Series Name","Solar energy total consumption, Virginia","Series Name","Solar energy total consumption, Washington","Series Name","Solar energy total consumption, Utah","Series Name","Wind energy total consumption, Vermont","Series Name","Wind energy total consumption, Virginia","Series Name","Wind energy total consumption, Washington","Series Name","Wind energy total consumption, Utah","Series Name","Biomass inputs (feedstock) to the production of biofuels, Vermont","Series Name","Biomass inputs (feedstock) to the production of biofuels, Virginia","Series Name","Biomass inputs (feedstock) to the production of biofuels, Washington","Series Name","Biomass inputs (feedstock) to the production of biofuels, Utah","Series Name","Wood and waste energy production, Vermont","Series Name","Wood and waste energy production, Virginia","Series Name","Wood and waste energy production, Washington","Series Name","Wood and waste energy production, Utah"
Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu"
Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A
"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960
"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019
Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration"

2019,29,2019,1701,2019,1136,2019,3572,2019,11906,2019,13529,2019,587893,2019,7793,2019,2767,2019,10168,2019,2341,2019,23623,2019,3361,2019,0,2019,59461,2019,7290,2019,0,2019,845,2019,9826,2019,0,2019,22903,2019,116374,2019,118352,2019,5938
2018,29,2018,1701,2018,1136,2018,4866,2018,11546,2018,16067,2018,736362,2018,8440,2018,2252,2018,8240,2018,1506,2018,23895,2018,3399,2018,0,2018,71922,2018,7234,2018,0,2018,6810,2018,10049,2018,0,2018,24312,2018,126993,2018,116721,2018,5918
2017,29,2017,1701,2017,1136,2017,5239,2017,11796,2017,10285,2017,757151,2017,11919,2017,2029,2017,4034,2017,1201,2017,23097,2017,2814,2017,0,2017,63801,2017,7907,2017,0,2017,7569,2017,9204,2017,0,2017,21113,2017,117294,2017,117703,2017,5117
2016,29,2016,1701,2016,1136,2016,5287,2016,9948,2016,13585,2016,723289,2016,7012,2016,1335,2016,1105,2016,957,2016,11167,2016,2688,2016,0,2016,74242,2016,7591,2016,0,2016,3601,2016,8373,2016,0,2016,21635,2016,119781,2016,122777,2016,5503
2015,29,2015,1701,2015,1136,2015,4811,2015,10619,2015,10795,2015,684060,2015,7164,2015,1044,2015,803,2015,649,2015,980,2015,3032,2015,0,2015,65936,2015,5833,2015,0,2015,5994,2015,7251,2015,9,2015,24060,2015,118254,2015,113296,2015,5195
2014,29,2014,1701,2014,1136,2014,5769,2014,11177,2014,9084,2014,755695,2014,6018,2014,627,2014,729,2014,471,2014,433,2014,2961,2014,0,2014,69117,2014,6276,2014,0,2014,5414,2014,5961,2014,675,2014,18038,2014,118934,2014,108558,2014,3063
2013,29,2013,1701,2013,1136,2013,3851,2013,12269,2013,11961,2013,745678,2013,4818,2013,461,2013,656,2013,337,2013,282,2013,2252,2013,0,2013,66829,2013,5150,2013,0,2013,427,2013,6078,2013,129,2013,18303,2013,103645,2013,107981,2013,2948
2012,29,2012,1701,2012,1136,2012,3993,2012,10956,2012,9933,2012,851343,2012,7116,2012,280,2012,627,2012,270,2012,204,2012,1017,2012,0,2012,62803,2012,6698,2012,0,2012,259,2012,2966,2012,463,2012,14026,2012,89852,2012,101315,2012,2545
2011,27,2011,1764,2011,1262,2011,4027,2011,13843,2011,11760,2011,892101,2011,11952,2011,173,2011,545,2011,201,2011,113,2011,322,2011,0,2011,60845,2011,5565,2011,0,2011,259,2011,4680,2011,0,2011,16191,2011,90609,2011,104436,2011,2729
