"Series Key",SEDS.GETCB.WY.A,"Series Key",SEDS.GETCB.WI.A,"Series Key",SEDS.GETCB.WV.A,"Series Key",SEDS.HYTCB.WY.A,"Series Key",SEDS.HYTCB.WI.A,"Series Key",SEDS.HYTCB.WV.A,"Series Key",SEDS.SOTCB.WY.A,"Series Key",SEDS.SOTCB.WI.A,"Series Key",SEDS.SOTCB.WV.A,"Series Key",SEDS.WYTCB.WY.A,"Series Key",SEDS.WYTCB.WI.A,"Series Key",SEDS.WYTCB.WV.A,"Series Key",SEDS.BFFDB.WY.A,"Series Key",SEDS.BFFDB.WI.A,"Series Key",SEDS.BFFDB.WV.A,"Series Key",SEDS.WWPRB.WY.A,"Series Key",SEDS.WWPRB.WI.A,"Series Key",SEDS.WWPRB.WV.A
"Series Name","Geothermal energy total consumption, Wyoming","Series Name","Geothermal energy total consumption, Wisconsin","Series Name","Geothermal energy total consumption, West Virginia","Series Name","Hydropower total consumption, Wyoming","Series Name","Hydropower total consumption, Wisconsin","Series Name","Hydropower total consumption, West Virginia","Series Name","Solar energy total consumption, Wyoming","Series Name","Solar energy total consumption, Wisconsin","Series Name","Solar energy total consumption, West Virginia","Series Name","Wind energy total consumption, Wyoming","Series Name","Wind energy total consumption, Wisconsin","Series Name","Wind energy total consumption, West Virginia","Series Name","Biomass inputs (feedstock) to the production of biofuels, Wyoming","Series Name","Biomass inputs (feedstock) to the production of biofuels, Wisconsin","Series Name","Biomass inputs (feedstock) to the production of biofuels, West Virginia","Series Name","Wood and waste energy production, Wyoming","Series Name","Wood and waste energy production, Wisconsin","Series Name","Wood and waste energy production, West Virginia"
Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu"
Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A
"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960
"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019
Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration"

2019,663,2019,615,2019,32,2019,8838,2019,23518,2019,15192,2019,1688,2019,1483,2019,163,2019,37070,2019,16722,2019,14525,2019,0,2019,87517,2019,0,2019,4960,2019,101119,2019,12040
2018,663,2018,615,2018,32,2018,8883,2018,21777,2018,16821,2018,67,2018,1287,2018,140,2018,36936,2018,14909,2018,16114,2018,0,2018,88012,2018,0,2018,4929,2018,104245,2018,12302
2017,663,2017,615,2017,32,2017,10352,2017,24481,2017,15280,2017,45,2017,953,2017,126,2017,39806,2017,15116,2017,15499,2017,0,2017,82652,2017,0,2017,5045,2017,99361,2017,10699
2016,663,2016,615,2016,32,2016,8987,2016,25806,2016,15124,2016,33,2016,583,2016,104,2016,40522,2016,13989,2016,13222,2016,0,2016,81319,2016,0,2016,4358,2016,101172,2016,11169
2015,663,2015,615,2015,32,2015,8091,2015,21813,2015,12907,2015,27,2015,505,2015,93,2015,35009,2015,14811,2015,12825,2015,1183,2015,78895,2015,0,2015,4905,2015,106687,2015,12096
2014,663,2014,615,2014,32,2014,8261,2014,23507,2014,11811,2014,24,2014,468,2014,85,2014,41899,2014,15387,2014,13803,2014,1720,2014,75643,2014,0,2014,1569,2014,100617,2014,24288
2013,663,2013,615,2013,32,2013,6782,2013,18880,2013,16590,2013,24,2013,423,2013,83,2013,42298,2013,14864,2013,13229,2013,1809,2013,68521,2013,0,2013,1544,2013,102889,2013,23929
2012,663,2012,615,2012,32,2012,8502,2012,14562,2012,13622,2012,15,2012,421,2012,76,2012,41576,2012,14822,2012,12238,2012,1794,2012,71273,2012,0,2012,1225,2012,97894,2012,18910
2011,670,2011,574,2011,30,2011,11890,2011,20859,2011,14118,2011,6,2011,334,2011,57,2011,44809,2011,11540,2011,10712,2011,1546,2011,73166,2011,0,2011,1436,2011,101828,2011,22302
2010,598,2010,592,2010,31,2010,9989,2010,20603,2010,13340,2010,6,2010,294,2010,46,2010,31676,2010,10619,2010,9163,2010,1007,2010,68052,2010,0,2010,1492,2010,104101,2010,23399
2009,591,2009,525,2009,27,2009,9434,2009,13605,2009,16064,2009,4,2009,260,2009,44,2009,21728,2009,10267,2009,7246,2009,893,2009,64544,2009,73,2009,1360,2009,82636,2009,21666
2008,569,2008,421,2008,23,2008,8231,2008,15925,2008,12298,2008,5,2008,227,2008,46,2008,9485,2008,4800,2008,3862,2008,868,2008,63808,2008,160,2008,2545,2008,93315,2008,13019
2007,644,2007,354,2007,17,2007,7210,2007,14985,2007,12398,2007,4,2007,174,2007,43,2007,7461,2007,1080,2007,1656,2007,700,2007,40995,2007,18,2007,2305,2007,92442,2007,11891
2006,693,2006,292,2006,15,2006,8365,2006,16650,2006,15597,2006,4,2006,150,2006,40,2006,7529,2006,1006,2006,1723,2006,658,2006,29429,2006,0,2006,2102,2006,97098,2006,10893
2005,745,2005,252,2005,14,2005,8083,2005,17400,2005,14474,2005,3,2005,142,2005,38,2005,7172,2005,925,2005,1539,2005,657,2005,24175,2005,0,2005,2446,2005,101985,2005,12266
2004,718,2004,220,2004,12,2004,5941,2004,19838,2004,13204,2004,2,2004,153,2004,38,2004,6175,2004,1037,2004,1614,2004,687,2004,15136,2004,0,2004,911,2004,72360,2004,4360
2003,714,2003,203,2003,12,2003,6010,2003,18663,2003,13730,2003,2,2003,168,2003,27,2003,3711,2003,988,2003,1719,2003,740,2003,10963,2003,0,2003,888,2003,84474,2003,4322
