"Series Key",SEDS.RETCB.WI.A,"Series Key",SEDS.TETCB.WI.A,"Series Key",SEDS.RETCB.WV.A,"Series Key",SEDS.TETCB.WV.A,"Series Key",SEDS.RETCB.WY.A,"Series Key",SEDS.TETCB.WY.A
"Series Name","Renewable energy total consumption, Wisconsin","Series Name","Total energy consumption, Wisconsin","Series Name","Renewable energy total consumption, West Virginia","Series Name","Total energy consumption, West Virginia","Series Name","Renewable energy total consumption, Wyoming","Series Name","Total energy consumption, Wyoming"
Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu"
Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A
"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960
"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019
Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration"

2019,201441,2019,1846434,2019,49681,2019,827524,2019,57117,2019,540857
2018,202221,2018,1895548,2018,53586,2018,831224,2018,54946,2018,557644
2017,197867,2017,1817126,2017,49957,2017,752890,2017,59449,2017,534906
2016,199552,2016,1800297,2016,47896,2016,762343,2016,58512,2016,504999
2015,199955,2015,1813927,2015,45008,2015,768686,2015,52386,2015,507075
2014,195311,2014,1889168,2014,57172,2014,781081,2014,56012,2014,536255
2013,188644,2013,1832956,2013,61073,2013,751364,2013,54815,2013,539997
2012,178218,2012,1737993,2012,51399,2012,731006,2012,55484,2012,551033
2011,186450,2011,1797376,2011,53543,2011,738398,2011,61810,2011,557816
2010,186268,2010,1809795,2010,52218,2010,751531,2010,45955,2010,541021
2009,153703,2009,1764012,2009,50902,2009,706207,2009,35036,2009,524122
2008,160024,2008,1895116,2008,33587,2008,776230,2008,22477,2008,538379
2007,142051,2007,1902606,2007,26873,2007,789826,2007,18963,2007,523640
2006,140855,2006,1867717,2006,28884,2006,760310,2006,19573,2006,478077
2005,145127,2005,1959179,2005,28742,2005,737053,2005,19291,2005,456839
2004,108704,2004,1892938,2004,20765,2004,734849,2004,14039,2004,450647
2003,118300,2003,1868851,2003,21237,2003,711812,2003,11638,2003,461215
2002,110928,2002,1894796,2002,16225,2002,755537,2002,12279,2002,438549
2001,128460,2001,1853341,2001,15165,2001,730823,2001,14658,2001,438258
2000,115703,2000,1878161,2000,17406,2000,736985,2000,15011,2000,427791
1999,116297,1999,1846061,1999,14809,1999,717413,1999,14158,1999,425120
1998,110682,1998,1751166,1998,16213,1998,734561,1998,15733,1998,420795
1997,128387,1997,1771900,1997,17598,1997,707259,1997,16280,1997,414704
1996,128254,1996,1764572,1996,22054,1996,709036,1996,14917,1996,415040
1995,114213,1995,1698061,1995,19566,1995,736423,1995,10974,1995,403151
1994,108116,1994,1633387,1994,18865,1994,734061,1994,12356,1994,407936
1993,105835,1993,1587871,1993,18684,1993,707438,1993,10749,1993,406877
1992,110394,1992,1524772,1992,18857,1992,684688,1992,9262,1992,421423
1991,109956,1991,1527216,1991,16399,1991,671304,1991,10779,1991,388124
1990,103244,1990,1485607,1990,18512,1990,701782,1990,9529,1990,399316
1989,124135,1989,1516590,1989,25599,1989,748561,1989,10475,1989,382037
1988,157330,1988,1510126,1988,29016,1988,726601,1988,11399,1988,370702
1987,152928,1987,1404088,1987,28499,1987,681320,1987,11118,1987,363821
1986,161833,1986,1425549,1986,31416,1986,668346,1986,16233,1986,335938
1985,217863,1985,1501131,1985,25050,1985,665396,1985,14999,1985,357215
1984,215483,1984,1487633,1984,25619,1984,717840,1984,17199,1984,351234
1983,217664,1983,1419852,1983,23389,1983,681588,1983,15780,1983,329172
1982,195454,1982,1404352,1982,25803,1982,713139,1982,12243,1982,363372
1981,196641,1981,1421298,1981,22023,1981,769650,1981,12125,1981,352782
1980,187312,1980,1463981,1980,23421,1980,788175,1980,14250,1980,362253
1979,92876,1979,1468965,1979,33875,1979,823762,1979,13906,1979,378316
1978,90777,1978,1501615,1978,27252,1978,807745,1978,12774,1978,354800
1977,74518,1977,1437713,1977,24320,1977,819746,1977,9937,1977,325289
1976,69570,1976,1372938,1976,24758,1976,826694,1976,12547,1976,300313
1975,66067,1975,1341892,1975,22798,1975,790364,1975,13226,1975,277367
1974,65621,1974,1341660,1974,23779,1974,841728,1974,16196,1974,278885
1973,67818,1973,1354483,1973,24229,1973,845774,1973,14024,1973,283507
1972,65646,1972,1287690,1972,24771,1972,828980,1972,13492,1972,286868
1971,61793,1971,1293197,1971,22281,1971,779534,1971,15331,1971,268453
1970,58313,1970,1289050,1970,21152,1970,795739,1970,12129,1970,255480
1969,62804,1969,1248392,1969,21430,1969,796648,1969,12992,1969,250536
1968,65830,1968,1184174,1968,21573,1968,807461,1968,11560,1968,225588
1967,61003,1967,1137123,1967,22471,1967,739838,1967,9641,1967,205150
1966,60892,1966,1091996,1966,20101,1966,771519,1966,11106,1966,180286
1965,61690,1965,1030533,1965,20560,1965,753923,1965,10793,1965,172698
1964,54980,1964,974857,1964,21666,1964,729022,1964,10613,1964,163391
1963,55114,1963,940067,1963,21029,1963,689629,1963,10641,1963,163153
1962,61695,1962,917963,1962,23755,1962,656276,1962,11746,1962,173407
1961,60619,1961,877011,1961,23666,1961,648667,1961,8273,1961,154474
1960,64968,1960,854308,1960,23464,1960,617977,1960,8174,1960,141355
