"Series Key",SEDS.RETCB.AL.A,"Series Key",SEDS.TETCB.AL.A,"Series Key",SEDS.RETCB.AK.A,"Series Key",SEDS.TETCB.AK.A,"Series Key",SEDS.RETCB.AZ.A,"Series Key",SEDS.TETCB.AZ.A,"Series Key",SEDS.RETCB.AR.A,"Series Key",SEDS.TETCB.AR.A,"Series Key",SEDS.RETCB.CA.A,"Series Key",SEDS.TETCB.CA.A,"Series Key",SEDS.RETCB.CO.A,"Series Key",SEDS.TETCB.CO.A,"Series Key",SEDS.RETCB.CT.A,"Series Key",SEDS.TETCB.CT.A,"Series Key",SEDS.RETCB.DE.A,"Series Key",SEDS.TETCB.DE.A,"Series Key",SEDS.RETCB.DC.A,"Series Key",SEDS.TETCB.DC.A,"Series Key",SEDS.RETCB.FL.A,"Series Key",SEDS.TETCB.FL.A,"Series Key",SEDS.RETCB.GA.A,"Series Key",SEDS.TETCB.GA.A,"Series Key",SEDS.RETCB.HI.A,"Series Key",SEDS.TETCB.HI.A
"Series Name","Renewable energy total consumption, Alabama","Series Name","Total energy consumption, Alabama","Series Name","Renewable energy total consumption, Alaska","Series Name","Total energy consumption, Alaska","Series Name","Renewable energy total consumption, Arizona","Series Name","Total energy consumption, Arizona","Series Name","Renewable energy total consumption, Arkansas","Series Name","Total energy consumption, Arkansas","Series Name","Renewable energy total consumption, California","Series Name","Total energy consumption, California","Series Name","Renewable energy total consumption, Colorado","Series Name","Total energy consumption, Colorado","Series Name","Renewable energy total consumption, Connecticut","Series Name","Total energy consumption, Connecticut","Series Name","Renewable energy total consumption, Delaware","Series Name","Total energy consumption, Delaware","Series Name","Renewable energy total consumption, District of Columbia","Series Name","Total energy consumption, District of Columbia","Series Name","Renewable energy total consumption, Florida","Series Name","Total energy consumption, Florida","Series Name","Renewable energy total consumption, Georgia","Series Name","Total energy consumption, Georgia","Series Name","Renewable energy total consumption, Hawaii","Series Name","Total energy consumption, Hawaii"
Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu"
Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A
"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960
"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019
Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration"

2019,298622,2019,1925708,2019,23601,2019,616574,2019,174590,2019,1555764,2019,132209,2019,1096181,2019,1276832,2019,7787175,2019,177771,2019,1572006,2019,48857,2019,735362,2019,8544,2019,298601,2019,3068,2019,167662,2019,315474,2019,4371590,2019,313981,2019,2956038,2019,29857,2019,307771
2018,301237,2018,1956298,2018,24995,2018,604637,2018,179508,2018,1542084,2018,124846,2018,1116718,2018,1157005,2018,7864087,2018,165741,2018,1526696,2018,49574,2018,756085,2018,8035,2018,300572,2018,2662,2018,174538,2018,314836,2018,4441070,2018,303411,2018,3003495,2018,31140,2018,306352
2017,285127,2017,1904081,2017,24445,2017,601468,2017,172711,2017,1531395,2017,121646,2017,1057772,2017,1253369,2017,7765542,2017,161852,2017,1476736,2017,46757,2017,728349,2017,7912,2017,280037,2017,2257,2017,166877,2017,306629,2017,4345063,2017,293453,2017,2925671,2017,32014,2017,308389
2016,259541,2016,1922705,2016,26260,2016,593648,2016,162021,2016,1524691,2016,127845,2016,1053818,2016,1059362,2016,7647512,2016,158734,2016,1469774,2016,47870,2016,724700,2016,7597,2016,280942,2016,2193,2016,174551,2016,290010,2016,4362573,2016,298083,2016,2951645,2016,32376,2016,300396
2015,284415,2015,1917161,2015,23828,2015,614230,2015,149042,2015,1495839,2015,129282,2015,1062464,2015,862888,2015,7525175,2015,133588,2015,1500625,2015,46767,2015,756752,2015,7745,2015,284675,2015,1831,2015,178219,2015,293759,2015,4324695,2015,300816,2015,2978475,2015,29428,2015,298997
2014,293899,2014,1967800,2014,22762,2014,596520,2014,139818,2014,1473673,2014,131627,2014,1121995,2014,865147,2014,7445792,2014,131095,2014,1493817,2014,45472,2014,751741,2014,8064,2014,281005,2014,1313,2014,179278,2014,298008,2014,4173313,2014,297078,2014,2977913,2014,27997,2014,295248
2013,336863,2013,1931834,2013,18931,2013,597942,2013,119660,2013,1464009,2013,132369,2013,1106125,2013,858400,2013,7532140,2013,122871,2013,1478011,2013,42943,2013,747004,2013,7610,2013,280896,2013,1175,2013,174798,2013,301818,2013,4130128,2013,283975,2013,2907906,2013,25956,2013,301900
2012,265964,2012,1890831,2012,17831,2012,631311,2012,114627,2012,1445125,2012,125379,2012,1075269,2012,810040,2012,7445177,2012,108455,2012,1446014,2012,38997,2012,728270,2012,7140,2012,283546,2012,1094,2012,172778,2012,287384,2012,4070213,2012,238008,2012,2847752,2012,21540,2012,297301
2011,279972,2011,1916998,2011,16702,2011,641025,2011,129322,2011,1476545,2011,135135,2011,1131025,2011,946340,2011,7650833,2011,107836,2011,1478446,2011,43378,2011,743496,2011,7862,2011,285681,2011,1310,2011,183642,2011,288653,2011,4171417,2011,246850,2011,3034658,2011,20457,2011,302498
2010,266140,2010,1942185,2010,17148,2010,639265,2010,100892,2010,1434803,2010,138625,2010,1129225,2010,836943,2010,7651143,2010,82396,2010,1517051,2010,43544,2010,769837,2010,7755,2010,266380,2010,1123,2010,190374,2010,289754,2010,4319167,2010,247295,2010,3147635,2010,18210,2010,297525
2009,274392,2009,1800096,2009,15912,2009,639557,2009,96274,2009,1380048,2009,130887,2009,1041617,2009,726123,2009,7774769,2009,78330,2009,1465463,2009,41681,2009,766459,2009,6640,2009,259458,2009,620,2009,186485,2009,272937,2009,4115274,2009,220566,2009,2913908,2009,19711,2009,275905
2008,237856,2008,2002980,2008,13126,2008,650500,2008,111992,2008,1465556,2008,126307,2008,1110210,2008,680732,2008,8075200,2008,77362,2008,1487459,2008,36462,2008,774596,2008,5789,2008,291505,2008,565,2008,184104,2008,242565,2008,4264866,2008,198358,2008,2946558,2008,19342,2008,276640
