"Series Key",SEDS.RETCB.IL.A,"Series Key",SEDS.TETCB.IL.A,"Series Key",SEDS.RETCB.ID.A,"Series Key",SEDS.TETCB.ID.A,"Series Key",SEDS.RETCB.IN.A,"Series Key",SEDS.TETCB.IN.A,"Series Key",SEDS.RETCB.IA.A,"Series Key",SEDS.TETCB.IA.A,"Series Key",SEDS.RETCB.KS.A,"Series Key",SEDS.TETCB.KS.A,"Series Key",SEDS.RETCB.KY.A,"Series Key",SEDS.TETCB.KY.A,"Series Key",SEDS.RETCB.LA.A,"Series Key",SEDS.TETCB.LA.A,"Series Key",SEDS.RETCB.ME.A,"Series Key",SEDS.TETCB.ME.A,"Series Key",SEDS.RETCB.MD.A,"Series Key",SEDS.TETCB.MD.A,"Series Key",SEDS.RETCB.MA.A,"Series Key",SEDS.TETCB.MA.A,"Series Key",SEDS.RETCB.MI.A,"Series Key",SEDS.TETCB.MI.A,"Series Key",SEDS.RETCB.MN.A,"Series Key",SEDS.TETCB.MN.A
"Series Name","Renewable energy total consumption, Illinois","Series Name","Total energy consumption, Illinois","Series Name","Renewable energy total consumption, Idaho","Series Name","Total energy consumption, Idaho","Series Name","Renewable energy total consumption, Indiana","Series Name","Total energy consumption, Indiana","Series Name","Renewable energy total consumption, Iowa","Series Name","Total energy consumption, Iowa","Series Name","Renewable energy total consumption, Kansas","Series Name","Total energy consumption, Kansas","Series Name","Renewable energy total consumption, Kentucky","Series Name","Total energy consumption, Kentucky","Series Name","Renewable energy total consumption, Louisiana","Series Name","Total energy consumption, Louisiana","Series Name","Renewable energy total consumption, Maine","Series Name","Total energy consumption, Maine","Series Name","Renewable energy total consumption, Maryland","Series Name","Total energy consumption, Maryland","Series Name","Renewable energy total consumption, Massachusetts","Series Name","Total energy consumption, Massachusetts","Series Name","Renewable energy total consumption, Michigan","Series Name","Total energy consumption, Michigan","Series Name","Renewable energy total consumption, Minnesota","Series Name","Total energy consumption, Minnesota"
Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu"
Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A
"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960
"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019
Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration"

2019,290666,2019,3946604,2019,171451,2019,565727,2019,185057,2019,2776470,2019,509209,2019,1634222,2019,237996,2019,1125218,2019,101593,2019,1718001,2019,150546,2019,4298180,2019,154597,2019,384197,2019,79891,2019,1354689,2019,99543,2019,1463556,2019,243776,2019,2878880,2019,295745,2019,1897289
2018,274793,2018,4014621,2018,180136,2018,556316,2018,187815,2018,2803713,2018,470394,2018,1625049,2018,221916,2018,1135190,2018,103779,2018,1744696,2018,160953,2018,4245670,2018,155775,2018,388148,2018,90310,2018,1391652,2018,101090,2018,1469361,2018,246441,2018,2910826,2018,294688,2018,1937879
2017,284024,2017,3887757,2017,174515,2017,556984,2017,181964,2017,2672591,2017,466519,2017,1565449,2017,219033,2017,1074878,2017,103377,2017,1662222,2017,161575,2017,4208308,2017,155520,2017,384711,2017,80836,2017,1346642,2017,95866,2017,1431153,2017,237632,2017,2797699,2017,291648,2017,1860365
2016,274331,2016,3923363,2016,153245,2016,540039,2016,182328,2016,2775523,2016,447477,2016,1529338,2016,178467,2016,1092123,2016,91831,2016,1704070,2016,176186,2016,4030660,2016,150122,2016,392021,2016,73775,2016,1386567,2016,93051,2016,1426029,2016,234241,2016,2805890,2016,281444,2016,1837434
2015,269098,2015,3918554,2015,154472,2015,540162,2015,172315,2015,2825455,2015,426053,2015,1503633,2015,149447,2015,1101177,2015,89392,2015,1730307,2015,158293,2015,3911912,2015,168598,2015,424753,2015,73197,2015,1424142,2015,88991,2015,1468267,2015,239258,2015,2826466,2015,277535,2015,1812494
