"Series Key",SEDS.RETCB.MO.A,"Series Key",SEDS.TETCB.MO.A,"Series Key",SEDS.RETCB.MS.A,"Series Key",SEDS.TETCB.MS.A,"Series Key",SEDS.RETCB.MT.A,"Series Key",SEDS.TETCB.MT.A,"Series Key",SEDS.RETCB.NE.A,"Series Key",SEDS.TETCB.NE.A,"Series Key",SEDS.RETCB.NV.A,"Series Key",SEDS.TETCB.NV.A,"Series Key",SEDS.RETCB.NH.A,"Series Key",SEDS.TETCB.NH.A,"Series Key",SEDS.RETCB.NJ.A,"Series Key",SEDS.TETCB.NJ.A,"Series Key",SEDS.RETCB.NM.A,"Series Key",SEDS.TETCB.NM.A,"Series Key",SEDS.RETCB.NY.A,"Series Key",SEDS.TETCB.NY.A,"Series Key",SEDS.RETCB.NC.A,"Series Key",SEDS.TETCB.NC.A,"Series Key",SEDS.RETCB.ND.A,"Series Key",SEDS.TETCB.ND.A,"Series Key",SEDS.RETCB.OH.A,"Series Key",SEDS.TETCB.OH.A
"Series Name","Renewable energy total consumption, Missouri","Series Name","Total energy consumption, Missouri","Series Name","Renewable energy total consumption, Mississippi","Series Name","Total energy consumption, Mississippi","Series Name","Renewable energy total consumption, Montana","Series Name","Total energy consumption, Montana","Series Name","Renewable energy total consumption, Nebraska","Series Name","Total energy consumption, Nebraska","Series Name","Renewable energy total consumption, Nevada","Series Name","Total energy consumption, Nevada","Series Name","Renewable energy total consumption, New Hampshire","Series Name","Total energy consumption, New Hampshire","Series Name","Renewable energy total consumption, New Jersey","Series Name","Total energy consumption, New Jersey","Series Name","Renewable energy total consumption, New Mexico","Series Name","Total energy consumption, New Mexico","Series Name","Renewable energy total consumption, New York","Series Name","Total energy consumption, New York","Series Name","Renewable energy total consumption, North Carolina","Series Name","Total energy consumption, North Carolina","Series Name","Renewable energy total consumption, North Dakota","Series Name","Total energy consumption, North Dakota","Series Name","Renewable energy total consumption, Ohio","Series Name","Total energy consumption, Ohio"
Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu"
Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A
"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960
"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019
Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration"

2019,120835,2019,1804313,2019,70143,2019,1089650,2019,133909,2019,445819,2019,199186,2019,902401,2019,125084,2019,778961,2019,62379,2019,319625,2019,85014,2019,2097500,2019,105066,2019,738456,2019,497947,2019,3836690,2019,275509,2019,2656151,2019,163327,2019,669251,2019,158882,2019,3634196
2018,110104,2018,1860301,2018,73961,2018,1105752,2018,147631,2018,436290,2018,186521,2018,905010,2018,117290,2018,776519,2018,62623,2018,325619,2018,84255,2018,2194118,2018,95280,2018,703406,2018,489131,2018,3945714,2018,270185,2018,2684887,2018,162351,2018,661718,2018,157501,2018,3762214
2017,101982,2017,1741701,2017,71766,2017,1068223,2017,140941,2017,422843,2017,183627,2017,869927,2017,109585,2017,757880,2017,66802,2017,317801,2017,83847,2017,2089239,2017,78104,2017,684640,2017,490545,2017,3775733,2017,240063,2017,2575013,2017,165180,2017,632726,2017,155239,2017,3616494
2016,93954,2016,1781264,2016,76902,2016,1071615,2016,132813,2016,406436,2016,165868,2016,867659,2016,99710,2016,727153,2016,62843,2016,307284,2016,85377,2016,2140852,2016,64786,2016,673888,2016,453934,2016,3768557,2016,222415,2016,2619540,2016,125228,2016,582874,2016,158413,2016,3667803
2015,95352,2015,1831122,2015,74194,2015,1085005,2015,129472,2015,403637,2015,162645,2015,856026,2015,85250,2015,697589,2015,67612,2015,316646,2015,81596,2015,2183528,2015,48923,2015,681249,2015,448402,2015,3838381,2015,206876,2015,2595881,2015,109435,2015,607831,2015,156941,2015,3708130
2014,98763,2014,1911497,2014,78055,2014,1102440,2014,137744,2014,405270,2014,154635,2014,877045,2014,76203,2014,708310,2014,61733,2014,314335,2014,91006,2014,2232277,2014,48136,2014,681910,2014,437602,2014,3840804,2014,209096,2014,2603061,2014,111025,2014,640232,2014,163025,2014,3793113
2013,97647,2013,1851428,2013,76907,2013,1090775,2013,118144,2013,406560,2013,137830,2013,871337,2013,74085,2013,705233,2013,59058,2013,306191,2013,85968,2013,2219142,2013,46394,2013,672736,2013,417999,2013,3723052,2013,228340,2013,2558289,2013,98136,2013,591359,2013,159951,2013,3685299
2012,84700,2012,1788520,2012,88540,2012,1112823,2012,127821,2012,397124,2012,132976,2012,852536,2012,63717,2012,685898,2012,50259,2012,287924,2012,77587,2012,2174789,2012,45189,2012,669125,2012,399831,2012,3583613,2012,186606,2012,2539522,2012,99508,2012,549046,2012,143555,2012,3614861
2011,96372,2011,1868094,2011,75576,2011,1128522,2011,143495,2011,404248,2011,144549,2011,863018,2011,58071,2011,688505,2011,52028,2011,296996,2011,74587,2011,2278483,2011,43312,2011,671588,2011,438881,2011,3757086,2011,188554,2011,2630446,2011,102733,2011,525235,2011,138123,2011,3755018
2010,100761,2010,1925763,2010,74760,2010,1153756,2010,117221,2010,405111,2010,133695,2010,867561,2010,56467,2010,698576,2010,51207,2010,299070,2010,74234,2010,2289569,2010,39932,2010,653699,2010,405847,2010,3874593,2010,189835,2010,2756613,2010,84009,2010,473679,2010,129223,2010,3788333
2009,92068,2009,1845179,2009,56832,2009,1111703,2009,116456,2009,427247,2009,86963,2009,778869,2009,54242,2009,651354,2009,49904,2009,297987,2009,66404,2009,2372781,2009,33262,2009,644532,2009,409748,2009,3698703,2009,179903,2009,2557016,2009,64260,2009,435055,2009,114672,2009,3666515
2008,84232,2008,1948878,2008,50436,2008,1166061,2008,125438,2008,456670,2008,84810,2008,796063,2008,44501,2008,697172,2008,43631,2008,301470,2008,50705,2008,2594260,2008,36695,2008,677716,2008,428758,2008,3874874,2008,167205,2008,2698574,2008,43508,2008,444397,2008,116288,2008,3999755
