"Series Key",SEDS.RETCB.OR.A,"Series Key",SEDS.TETCB.OR.A,"Series Key",SEDS.RETCB.OK.A,"Series Key",SEDS.TETCB.OK.A,"Series Key",SEDS.RETCB.PA.A,"Series Key",SEDS.TETCB.PA.A,"Series Key",SEDS.RETCB.RI.A,"Series Key",SEDS.TETCB.RI.A,"Series Key",SEDS.RETCB.SC.A,"Series Key",SEDS.TETCB.SC.A,"Series Key",SEDS.RETCB.SD.A,"Series Key",SEDS.TETCB.SD.A,"Series Key",SEDS.RETCB.TN.A,"Series Key",SEDS.TETCB.TN.A,"Series Key",SEDS.RETCB.TX.A,"Series Key",SEDS.TETCB.TX.A,"Series Key",SEDS.RETCB.UT.A,"Series Key",SEDS.TETCB.UT.A,"Series Key",SEDS.RETCB.VT.A,"Series Key",SEDS.TETCB.VT.A,"Series Key",SEDS.RETCB.VA.A,"Series Key",SEDS.TETCB.VA.A,"Series Key",SEDS.RETCB.WA.A,"Series Key",SEDS.TETCB.WA.A
"Series Name","Renewable energy total consumption, Oregon","Series Name","Total energy consumption, Oregon","Series Name","Renewable energy total consumption, Oklahoma","Series Name","Total energy consumption, Oklahoma","Series Name","Renewable energy total consumption, Pennsylvania","Series Name","Total energy consumption, Pennsylvania","Series Name","Renewable energy total consumption, Rhode Island","Series Name","Total energy consumption, Rhode Island","Series Name","Renewable energy total consumption, South Carolina","Series Name","Total energy consumption, South Carolina","Series Name","Renewable energy total consumption, South Dakota","Series Name","Total energy consumption, South Dakota","Series Name","Renewable energy total consumption, Tennessee","Series Name","Total energy consumption, Tennessee","Series Name","Renewable energy total consumption, Texas","Series Name","Total energy consumption, Texas","Series Name","Renewable energy total consumption, Utah","Series Name","Total energy consumption, Utah","Series Name","Renewable energy total consumption, Vermont","Series Name","Total energy consumption, Vermont","Series Name","Renewable energy total consumption, Virginia","Series Name","Total energy consumption, Virginia","Series Name","Renewable energy total consumption, Washington","Series Name","Total energy consumption, Washington"
Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu",Units,"Billion Btu"
Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A,Frequency,A
"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960,"Start Date",1960
"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019
Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration"

2019,443169,2019,1027266,2019,347236,2019,1684372,2019,234304,2019,3810941,2019,11832,2019,190225,2019,166388,2019,1635857,2019,166605,2019,403241,2019,191204,2019,2165654,2019,1071023,2019,14217751,2019,60109,2019,854232,2019,43754,2019,136857,2019,169892,2019,2460931,2019,797959,2019,2078581
2018,502472,2018,1021423,2018,324352,2018,1715036,2018,251789,2018,3933890,2018,10045,2018,195554,2018,165220,2018,1675208,2018,155906,2018,404350,2018,198838,2018,2232847,2018,1009732,2018,14009155,2018,61311,2018,844149,2018,44254,2018,138634,2018,183741,2018,2500900,2018,955811,2018,2054359
2017,517008,2017,1041266,2017,291094,2017,1647045,2017,240350,2017,3767372,2017,9567,2017,182326,2017,152856,2017,1647904,2017,146407,2017,392238,2017,182498,2017,2145338,2017,915103,2017,13172103,2017,64204,2017,827356,2017,40943,2017,134076,2017,166922,2017,2401340,2017,968130,2017,2075322
